Date,TP
2019-01-01,274.1613739631558
2019-01-02,278.08785185726975
2019-01-03,283.69005351728157
2019-01-04,285.206208166922
2019-01-05,278.3515285255375
2019-01-06,276.37245955489783
2019-01-07,288.45384178213874
2019-01-08,280.2376934189098
2019-01-09,278.5520922053516
2019-01-10,282.18594800318283
2019-01-11,284.0952063385165
2019-01-12,279.659380025448
2019-01-13,276.69628753516804
2019-01-14,283.3167853800988
2019-01-15,276.4619898113644
2019-01-16,273.9548080701634
2019-01-17,275.64874365544483
2019-01-18,280.68598931189507
2019-01-19,275.73513951502633
2019-01-20,276.5498736258272
2019-01-21,275.56960439142847
2019-01-22,276.3573930347422
2019-01-23,276.1153080771092
2019-01-24,274.5401142688549
2019-01-25,273.8745288992166
2019-01-26,274.42527484410704
2019-01-27,275.9611567225191
2019-01-28,277.8854557210677
2019-01-29,274.08853869893153
2019-01-30,284.06807740643046
2019-01-31,283.08767747479135
2019-02-01,277.0606330165971
2019-02-02,278.08218285626197
2019-02-03,282.0566752594288
2019-02-04,279.11712365868414
2019-02-05,276.90498694860975
2019-02-06,276.05776820692176
2019-02-07,283.5160329253185
2019-02-08,282.1642220246519
2019-02-09,292.6823899297654
2019-02-10,278.4864345602443
2019-02-11,275.2887292704113
2019-02-12,284.1249490813401
2019-02-13,283.229078746897
2019-02-14,280.208484643286
2019-02-15,274.9444558452824
2019-02-16,272.9860527103864
2019-02-17,274.9534432897436
2019-02-18,276.95910321775125
2019-02-19,274.57241022226674
2019-02-20,280.69506021606804
2019-02-21,275.1404698232172
2019-02-22,275.3317973185626
2019-02-23,285.68882676570803
2019-02-24,285.1616174256563
2019-02-25,279.7382980005026
2019-02-26,275.7096558760703
2019-02-27,277.81903815782516
2019-02-28,275.95161809143184
2019-03-01,278.62608423387087
2019-03-02,283.72377844531445
2019-03-03,280.5055444179907
2019-03-04,282.75357975519154
2019-03-05,282.28305167380324
2019-03-06,277.1790031297038
2019-03-07,274.56149947890617
2019-03-08,275.25288019577897
2019-03-09,277.42876451849486
2019-03-10,276.04544248977646
2019-03-11,272.5126611682789
2019-03-12,272.9648052867412
2019-03-13,274.02327366341103
2019-03-14,274.489046295325
2019-03-15,273.9804467567296
2019-03-16,274.4218554022877
2019-03-17,275.54660390334357
2019-03-18,275.55411677574523
2019-03-19,274.4814951671461
2019-03-20,275.9719839193032
2019-03-21,275.50500766290355
2019-03-22,274.09428616217934
2019-03-23,273.6435958233283
2019-03-24,274.0380848495628
2019-03-25,276.1449826570694
2019-03-26,274.7768364954475
2019-03-27,278.57178194883033
2019-03-28,277.7445362089999
2019-03-29,273.3621822063781
2019-03-30,273.6196874339089
2019-03-31,283.3830456889984
2019-04-01,280.69688893389343
2019-04-02,278.5299629650398
2019-04-03,280.329896831507
2019-04-04,278.39350206474126
2019-04-05,278.81041255103463
2019-04-06,275.5082165949121
2019-04-07,274.1168001736768
2019-04-08,273.6543279145025
2019-04-09,274.9318204524258
2019-04-10,274.95179932699784
2019-04-11,276.55320707270755
2019-04-12,277.4750627837745
2019-04-13,279.3353876512767
2019-04-14,276.6697530800461
2019-04-15,276.5910426650328
2019-04-16,280.0655632098973
2019-04-17,281.6196444902033
2019-04-18,277.32458217968787
2019-04-19,274.4981455746839
2019-04-20,272.35017168895905
2019-04-21,273.77442499190846
2019-04-22,276.34599049439566
2019-04-23,276.68053651045375
2019-04-24,276.14164408768966
2019-04-25,276.82864378331254
2019-04-26,280.48318306601897
2019-04-27,277.31321317813865
2019-04-28,274.2376100615129
2019-04-29,275.083771837611
2019-04-30,280.1123955810752
2019-05-01,277.8831184110826
2019-05-02,274.32403464384873
2019-05-03,273.44777672989994
2019-05-04,273.36781742856266
2019-05-05,273.1243166093613
2019-05-06,273.714249220488
2019-05-07,274.22293525843156
2019-05-08,274.20475879106226
2019-05-09,277.0522172022708
2019-05-10,280.5708473824978
2019-05-11,279.97326636318826
2019-05-12,279.7943152585934
2019-05-13,277.2266260262007
2019-05-14,275.3179945942372
2019-05-15,273.8949282151664
2019-05-16,273.9886726782228
2019-05-17,273.74854596260514
2019-05-18,273.5365490456485
2019-05-19,275.8037885297185
2019-05-20,273.7250652599894
2019-05-21,275.6287909045694
2019-05-22,285.20062471805545
2019-05-23,281.5203084497176
2019-05-24,275.2524013811899
2019-05-25,272.7687899241693
2019-05-26,273.91745773293195
2019-05-27,274.8712308155806
2019-05-28,278.11978135103686
2019-05-29,279.9965783299983
2019-05-30,280.9972433332297
2019-05-31,283.61681247578304
2019-06-01,278.23119216630835
2019-06-02,274.6900805984368
2019-06-03,275.26667833991934
2019-06-04,275.6924751092011
2019-06-05,276.55495702012706
2019-06-06,277.65746910099705
2019-06-07,279.2583879652401
2019-06-08,275.8289660232729
2019-06-09,272.9668093049778
2019-06-10,273.3142548329667
2019-06-11,277.99038939802296
2019-06-12,277.4896108230345
2019-06-13,275.166901493187
2019-06-14,277.0044051010894
2019-06-15,278.71326812710697
2019-06-16,280.29533822434814
2019-06-17,279.19457308769495
2019-06-18,278.08013015827515
2019-06-19,274.9136717695231
2019-06-20,274.40956068847527
2019-06-21,274.24261689179144
2019-06-22,275.19001097255597
2019-06-23,278.050017130058
2019-06-24,276.55747841132825
2019-06-25,273.70928686268434
2019-06-26,272.26695586293465
2019-06-27,271.7885243874868
2019-06-28,273.5065433591476
2019-06-29,274.67823695900125
2019-06-30,273.3752013511718
2019-07-01,272.1106392639701
2019-07-02,271.8809808714529
2019-07-03,272.8146003038473
2019-07-04,273.71570972111124
2019-07-05,274.01732272591187
