Date,TP
2019-01-01,274.25330664062227
2019-01-02,279.2025745563309
2019-01-03,284.5532640386232
2019-01-04,286.56423230007846
2019-01-05,278.5860598222695
2019-01-06,276.6651732983887
2019-01-07,293.57803791842855
2019-01-08,281.8682690942593
2019-01-09,279.3172859992213
2019-01-10,285.2625185778758
2019-01-11,286.050045436122
2019-01-12,278.54869499683656
2019-01-13,276.99805147025035
2019-01-14,281.8316682449628
2019-01-15,276.7302660405773
2019-01-16,274.89171639932425
2019-01-17,277.6635269375557
2019-01-18,280.43792983690963
2019-01-19,277.9038553789971
2019-01-20,277.4418389027149
2019-01-21,274.8129294975642
2019-01-22,278.7349644456521
2019-01-23,276.05062473244703
2019-01-24,274.7558831631237
2019-01-25,275.08098793486397
2019-01-26,274.80500688885905
2019-01-27,276.1266132019609
2019-01-28,279.20505684363985
2019-01-29,277.9174179576485
2019-01-30,283.2615247059933
2019-01-31,287.7449050830739
2019-02-01,277.7765365374832
2019-02-02,276.9447627362885
2019-02-03,283.7586123358143
2019-02-04,277.8344968641431
2019-02-05,275.37175944065547
2019-02-06,273.97172350090244
2019-02-07,283.8498399731939
2019-02-08,282.20388491214004
2019-02-09,294.6913263878505
2019-02-10,278.6256255939228
2019-02-11,276.8148990792984
2019-02-12,284.8506782218939
2019-02-13,285.49798339978383
2019-02-14,280.59218322528346
2019-02-15,274.6497299767553
2019-02-16,274.1877114644165
2019-02-17,274.7077824255101
2019-02-18,276.194475827482
2019-02-19,274.2938540092317
2019-02-20,281.3430946569868
2019-02-21,276.5428415822674
2019-02-22,275.03705574130566
2019-02-23,283.13138886767047
2019-02-24,284.46919303938614
2019-02-25,281.3433227740616
2019-02-26,277.2453608751847
2019-02-27,277.2236202772136
2019-02-28,275.08798891631255
2019-03-01,279.07339856027824
2019-03-02,286.23730769507443
2019-03-03,281.0846733483026
2019-03-04,284.79591055128066
2019-03-05,281.00729031177127
2019-03-06,276.092175648867
2019-03-07,274.59683579164533
2019-03-08,273.08016536001793
2019-03-09,277.3185221998202
2019-03-10,276.92157051171773
2019-03-11,274.21631896826096
2019-03-12,273.6354112595067
2019-03-13,273.3170838067745
2019-03-14,275.0061580567636
2019-03-15,275.2829858929551
2019-03-16,275.1028134872303
2019-03-17,275.80635470600816
2019-03-18,275.37730185184853
2019-03-19,273.0071310125031
2019-03-20,275.86346341632867
2019-03-21,276.2572120960674
2019-03-22,273.6849914686139
2019-03-23,273.26024710534193
2019-03-24,272.09335738969224
2019-03-25,273.9460685562912
2019-03-26,273.2746799798586
2019-03-27,277.412160957384
2019-03-28,277.3418417515045
2019-03-29,275.5731801667271
2019-03-30,274.1497111638987
2019-03-31,284.6366951312666
2019-04-01,280.2575714846563
2019-04-02,277.01989389529
2019-04-03,280.0059867562752
2019-04-04,279.4472617015958
2019-04-05,281.0409356485081
2019-04-06,276.09877159257167
2019-04-07,273.4791815573314
2019-04-08,273.8439587123004
2019-04-09,274.930719803698
2019-04-10,275.06531963766577
2019-04-11,278.62744822059284
2019-04-12,278.9299253094905
2019-04-13,281.0453128711618
2019-04-14,276.9482063345475
2019-04-15,276.8316495512854
2019-04-16,279.3560967993521
2019-04-17,281.47147323115945
2019-04-18,275.5146141662143
2019-04-19,273.18663345631364
2019-04-20,272.52870962994814
2019-04-21,273.21764413628307
2019-04-22,275.95877094779604
2019-04-23,277.1051849989609
2019-04-24,276.9759387595353
2019-04-25,278.48075795407675
2019-04-26,281.5434956723633
2019-04-27,278.0547398864093
2019-04-28,273.803797624438
2019-04-29,273.8746872716717
2019-04-30,280.0867918164104
2019-05-01,277.47549596811507
2019-05-02,273.4972685004348
2019-05-03,273.02453195476016
2019-05-04,273.32735977125725
2019-05-05,274.0110939286834
2019-05-06,273.3283415073032
2019-05-07,273.7239113652739
2019-05-08,274.72349392934603
2019-05-09,278.18275340320787
2019-05-10,281.56922333511255
2019-05-11,281.3610649646144
2019-05-12,279.06823260362205
2019-05-13,276.55310632483645
2019-05-14,273.8978221735237
2019-05-15,274.34598015207075
2019-05-16,274.09673116109224
2019-05-17,273.4555826206219
2019-05-18,274.6672385648185
2019-05-19,277.57017918999543
2019-05-20,274.50067548803526
2019-05-21,275.3958188382647
2019-05-22,284.9761485977621
2019-05-23,282.1934507896668
2019-05-24,274.8670958408611
2019-05-25,273.5595639454903
2019-05-26,274.51206579727005
2019-05-27,275.49561418863016
2019-05-28,279.6628554315643
2019-05-29,281.17157850134174
2019-05-30,281.798341546957
2019-05-31,285.1708216283658
2019-06-01,277.90908080990727
2019-06-02,275.0050050110773
2019-06-03,275.46009594790206
2019-06-04,276.7600881021198
2019-06-05,276.1444120006757
2019-06-06,277.5961623446519
2019-06-07,279.2505135416788
2019-06-08,276.7557467089106
2019-06-09,275.9137594992708
2019-06-10,274.6901946521878
2019-06-11,280.0788577221841
2019-06-12,279.29983321592897
2019-06-13,276.2334207866621
2019-06-14,276.0748764909827
2019-06-15,277.7766624492789
2019-06-16,279.5174738896175
2019-06-17,279.3956177134524
2019-06-18,277.9605441440006
2019-06-19,273.81039556404215
2019-06-20,274.3619804443469
2019-06-21,274.2923024739833
2019-06-22,277.4285305331526
2019-06-23,278.42091137877753
2019-06-24,277.576436257805
2019-06-25,274.52589420937244
2019-06-26,272.80908208278504
2019-06-27,272.1323754062131
2019-06-28,272.12109263305143
2019-06-29,273.54488283464656
2019-06-30,272.35075148925335
2019-07-01,271.93982399939796
2019-07-02,271.8940063657813
2019-07-03,273.0880469840145
2019-07-04,272.9387381442943
2019-07-05,271.7851777998073
