Date,FRI2,FRC2,FRI3,FRI1,FRB0,FRC1,FRK1
2019-01-01,-2.917185891327211,-5.904576584846569,-1.1302770626050809,0.2769960725107946,-3.3260059728683005,-5.91789973440603,-5.118982230392183
2019-01-02,-2.5434789599737946,-5.467345520397095,-0.519950629739551,0.6744419726416059,-2.731861774000837,-5.252155533042185,-4.783769178527455
2019-01-03,-2.4189868774483014,-5.28860171694577,-0.1562984300060182,0.9171812908630484,-2.360278888140028,-4.9529022865406125,-4.6782264032616405
2019-01-04,-2.4147015193761834,-5.166701587498136,-0.10673332874299245,1.1196381745905424,-2.3219609684192624,-4.647144916253272,-4.552377573305358
2019-01-05,-2.5344959476233653,-5.145131105243826,-0.06925809933359883,1.0267759720091323,-2.2370304088103867,-4.290927839101442,-4.5043019678131655
2019-01-06,-2.367089171698907,-4.987128977868976,0.38255760708122605,1.2158765278013381,-1.7403396308870527,-3.859056549745593,-4.432937891418815
2019-01-07,-1.5681876574606763,-4.803423567065048,1.567096642501695,2.11316143294498,-0.6117885292998801,-3.1045597157481644,-4.030513181162812
2019-01-08,-1.283213429716125,-5.0503188882931696,1.7329420090627845,2.550521600219565,-0.8491473399075272,-3.2345286328690745,-3.8227242622262665
2019-01-09,-1.3064043314741158,-5.199597555933702,1.6119725498173456,2.4802164865501584,-1.0719212001794458,-3.521433636965752,-3.9274597489520433
2019-01-10,-1.3543712431557668,-5.162394142656581,1.3983976798334403,2.4465162627596335,-1.3178897099067644,-3.570959124911611,-3.9232552842679893
2019-01-11,-1.5021625256475706,-4.981275804892185,1.2373918224132547,2.3838926347805063,-1.5110665001273287,-3.5993857536034546,-3.984792648451034
2019-01-12,-1.7163007701363446,-5.098421460641615,1.0911678480752924,2.360510587758994,-1.7736207621203488,-3.8716723143230203,-4.182870612249781
2019-01-13,-1.8955713720806677,-5.391723099894951,0.7894433153851711,2.121520545505462,-2.0224218122095103,-4.100062042986974,-4.304891762891012
2019-01-14,-2.473299658307394,-5.967827951231657,0.07771919531094884,1.6888949002816374,-2.7426545321735887,-4.667526602549849,-4.8253748034538635
2019-01-15,-3.454245570149753,-6.99528561110449,-0.6937223604175315,0.8410406842090848,-3.4728462479788336,-5.545108286971384,-5.812477119746332
2019-01-16,-4.541565964333674,-8.306499116429368,-1.7023480350908515,-0.10502286519987747,-4.529461158757487,-6.604264341268623,-6.989038791649527
2019-01-17,-5.45761591680003,-9.546715952992292,-2.2978235729863634,-1.070306598534436,-5.110501561025901,-7.624765334305471,-8.128575331583498
2019-01-18,-6.029493422306902,-10.784206925245547,-2.4975588565677684,-1.3464480634224902,-5.642702461124905,-8.626891445363471,-9.030835885916504
2019-01-19,-5.7380182380809766,-11.057028799685071,-2.1846631734268085,-0.9275575652393245,-5.52768159420973,-8.681467562505231,-8.989786317503123
2019-01-20,-5.462925491772503,-11.054719816861802,-1.9201703687811864,-0.5617928462063995,-5.465643432935038,-8.54559122093563,-8.765281413983873
2019-01-21,-5.781053394941992,-11.163152970369316,-2.156068085157815,-0.8863217652637864,-5.624689046862429,-8.81343261627545,-9.037159645918596
2019-01-22,-5.6238970161082396,-11.010452579354263,-1.9301655051539497,-0.7129892587181957,-5.356319538867082,-8.639638865490287,-8.88538448176836
2019-01-23,-4.580926128962067,-10.119893410472072,-0.8967041139124305,0.373395179382273,-4.331970770005804,-7.758290518892495,-7.856616651909399
2019-01-24,-3.684357564026213,-9.344356494993226,-0.030820742594788238,1.6047399817625714,-3.5964190415838146,-7.0760623251316,-6.9867643817896745
2019-01-25,-2.54517095865094,-7.955044143816323,0.8610454234284265,2.2920810008091084,-2.3287788541609897,-5.773354193109085,-5.694306568339877
2019-01-26,-1.9731954579213122,-6.792626742711602,1.323473092363596,2.454943104392711,-1.3914158523714535,-4.824270137203203,-4.904270036800956
2019-01-27,-1.385038918396117,-5.757762454875656,1.9570470142043246,2.716119012715215,-0.30267785685784493,-3.88783424016741,-4.225334094702604
2019-01-28,-0.13931365324362335,-4.080446525664703,3.172448272079905,3.5013856150664355,1.1944588051640481,-2.24532645353698,-2.8500774321504565
2019-01-29,0.7567585729764639,-2.676216798447445,3.9327952223979197,4.0783910948013595,2.175216737881749,-1.0540781712927865,-1.8096592681416337
2019-01-30,0.8457221445244189,-2.1845992912011907,4.064489045772354,3.8362932638293232,2.4195255970914595,-0.752198335191065,-1.6807086686541362
2019-01-31,1.6929357960695852,-1.1580419188045206,4.631515290038757,4.22315597570566,3.0974245645449576,0.2561727479882868,-0.660345702884842
2019-02-01,2.004703535075361,-0.5542352270207257,4.785448488058776,4.520296120926024,3.318623332923782,0.7788423737891551,-0.2154414139912931
2019-02-02,1.9904771587909373,-0.5060796517883618,4.710541625604707,4.616877596528192,3.208105044962636,0.8366209957446034,-0.1559479324285228
2019-02-03,1.428203055556798,-0.8860084579617235,4.099624928790711,4.310023218584266,2.4089342313159285,0.31932129226901873,-0.7050178608142297
2019-02-04,0.42203203762699293,-2.1242250458047858,3.1482893105410357,3.5528765585112616,1.374796858130066,-0.7781687497090102,-1.8545440325053235
2019-02-05,-0.1496084353988545,-2.8006527245352437,2.3975330431304545,2.8217247591432555,0.8630612128837403,-1.269416836482537,-2.4423623781540478
2019-02-06,-0.3746120959860684,-2.853304596411705,2.0866822159591703,2.5830193597641746,0.6758979444274765,-1.336096815868849,-2.592330023827476
2019-02-07,-1.4305688275045665,-3.487259358382407,1.1123651339191378,1.6478448603936295,-0.17707273403511575,-2.002949877781868,-3.6032230418753364
2019-02-08,-2.1061319851581137,-4.4255036613927405,0.5733070179829486,1.0933803639915425,-0.8481769205506088,-2.767669405294338,-4.476709351451019
2019-02-09,-2.5754178592059023,-4.914806588602575,0.13200763111483588,0.7641473485255971,-1.5274543432385443,-3.3238736573740897,-5.02515503622587
2019-02-10,-3.2875160137260586,-5.704951489026967,-0.4834741311670038,0.2963449217329274,-2.18089064138957,-4.077206723008468,-5.759370148987587
2019-02-11,-3.4912059585379964,-5.9423729525923195,-0.6602105156468168,0.4241833627833859,-2.492747291629853,-4.344568983183563,-6.0065965493850735
2019-02-12,-3.5975826682549363,-6.584806031868658,-0.49998949284383015,0.8503811145592632,-2.8939914368814073,-4.953282802343944,-6.328383853403641
2019-02-13,-3.6296435964420346,-7.302592216605872,-0.4701930803355779,1.148651463950685,-3.1878725803434342,-5.417778499184253,-6.501572129731015
2019-02-14,-3.6710615079565443,-7.636501358302028,-0.49059551460320533,1.207528006191522,-3.3198484149423466,-5.714269138635666,-6.592983582216611
2019-02-15,-4.252853743444596,-7.938939663635559,-1.1524020353700206,0.5001311299813515,-3.7948284592307044,-6.140394359922841,-7.078326025709401
2019-02-16,-4.67085421854867,-8.387978920282622,-1.54271506320872,-0.09650755874569238,-3.8970158728087787,-6.427059275939172,-7.526377826212095
2019-02-17,-4.488511867811742,-7.897119413116738,-1.442800843858113,-0.23836512842780583,-3.632839136339127,-6.010058397229722,-7.228653615928697
2019-02-18,-4.473866305168999,-7.34887492452843,-1.3807304319045173,-0.318808975466396,-3.5352589050455197,-5.769514274860637,-7.034272852481438
2019-02-19,-4.584086634658131,-6.856416472214961,-1.4342123925913504,-0.6319390540596281,-3.3822891377864654,-5.451414145955846,-6.986306832919385
2019-02-20,-4.569643267624217,-6.5621123814085465,-1.139124408377197,-0.8740769671731901,-2.827874762271069,-5.080256919743165,-6.931520213232498
2019-02-21,-3.7693031461213975,-5.826288092531541,-0.32471181843328545,-0.2986579070697264,-1.9576272815185034,-4.276401198670491,-6.19549987564695
2019-02-22,-2.5794848183890617,-4.652906492475904,0.7157695926883222,0.6724740827867726,-0.8848707341136425,-3.145339239444367,-4.874161318338326
2019-02-23,-1.6320058175313292,-3.748895557858767,1.7265304779034085,1.7535202863503005,-0.11795804485628396,-2.294012750718692,-3.8817343674244347
2019-02-24,-0.37134164311611023,-3.185232923930005,2.999969816029179,3.0059714155064152,0.9440985220210122,-1.4710300610927902,-2.7541061200988013
2019-02-25,0.6914003245635828,-2.490164207682741,3.8485519199982567,3.8326607357170337,1.831109256423807,-0.5847648372930859,-1.6878633298635826
2019-02-26,1.1311602682202369,-2.056751351541375,4.012373658473604,4.307204503559461,2.1643133827502585,-0.1708858476252156,-1.1480394047589688
2019-02-27,1.0917732176487025,-1.5901458311620469,3.561693936103395,4.132836144627454,1.743717825792844,-0.15216981464486867,-1.059868965286436
2019-02-28,0.3719350056234971,-1.8557813697993442,2.5782468899208673,3.3177825529649616,0.8942124224622204,-0.7244156553228329,-1.507062955390397
2019-03-01,-0.3305725987081666,-2.6607289055217045,2.1593531188721697,2.9124746844006393,0.4427838510336533,-1.383730670370273,-2.329521238764173
2019-03-02,-0.501741771945541,-2.8611581707824345,2.049057898821981,2.7546710339663014,0.4397135930673108,-1.501916708342906,-2.5148557062282544
2019-03-03,-0.7922790653871905,-2.8334727020642796,1.7992811477544968,2.594449193146747,0.3628191540667939,-1.5046904698305228,-2.7715973211828677
2019-03-04,-1.0215160556074447,-3.1468095975465924,1.6696791711494223,2.5356974610982186,0.21076615344486901,-1.7547973990390566,-3.105454053005139
2019-03-05,-1.0116383462190117,-3.1857469732038366,1.7116011083313383,2.5354757856781336,0.12958225059952533,-1.7204571378083873,-3.1204960844081606
2019-03-06,-1.2702224563395776,-3.5541633960151304,1.5074048832472695,2.6188214214831196,-0.17619816195041058,-2.0023297181138426,-3.367395571142008
2019-03-07,-1.6057189111626105,-3.908688807129779,1.345509657124255,2.7833041732705355,-0.3938074208257258,-2.2354871243845933,-3.6915462015944747
2019-03-08,-1.894299599318043,-4.020447173215792,0.8687022923040291,2.581128585728679,-0.950632870220487,-2.5121973500438655,-3.8800404395031505
2019-03-09,-2.3670769509617693,-4.414444336943953,0.36244212672313136,2.1957896237484884,-1.5220111701091674,-3.0441350571755774,-4.416372948174725
2019-03-10,-2.404795281804937,-4.35988418976832,0.19676378518132465,1.9667333731542185,-1.6914377683134698,-3.0671635646681503,-4.3680033927714605
2019-03-11,-2.1948529831775128,-3.868665446197592,0.1703118211949655,1.829661255039928,-1.4741978557874467,-2.6340112841468444,-3.9716106215972355
