Date,FR10,FRB0,FRC1,FRC2,FRD1,FRD2,FRE1,FRE2,FRF1,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ1,FRJ2,FRK1,FRK2,FRL0
2019-01-01,275.0769676581209,275.19425178197696,275.55035664390465,276.93432587553684,275.3792185903169,275.1977067490449,274.9054345952422,275.07929159572706,274.88902158706645,276.2542460314563,276.39585490255286,274.9936773356409,275.97733977166746,273.88947597973106,275.62774111425097,275.0474223575829,274.463120745156,274.4668256305899,275.37071025366174,275.9543881686674,275.2890782532997
2019-01-02,274.85188582168064,275.03383246599964,275.38451138287166,276.68269334282024,275.29533068239266,275.08757348402685,274.77230839152196,274.8676352334666,274.7307504013431,275.82375431840336,276.0284904234844,274.92212817521454,275.900873741074,273.83234294906856,275.4727052540828,275.0098219533142,274.31084355233054,274.3611954060251,275.23714683831787,275.7992975753572,275.1857608270313
2019-01-03,274.77004803546185,274.9954469824322,275.2955709911854,276.5517387386158,275.3039612402566,275.0871904317564,274.7340184447717,274.77735700645536,274.58983501407323,275.58053537249435,275.79529667921,274.92351668787865,275.87695212891373,273.8346793532732,275.4167938894388,275.01433433544923,274.34809149203625,274.3133775589007,275.18105147635214,275.71048529259957,275.1269344763593
2019-01-04,274.65208625441556,274.9688518497026,275.35256066213265,276.61314470036604,275.07087639793656,274.8245235231224,274.4546827730255,274.55571615318263,274.58322102732404,275.49882419484294,275.74452141790164,274.7697101060875,275.5008164149047,273.86343972334544,275.4919883869833,275.0088356483186,274.90286455171446,274.50859340070036,275.41053648861333,275.8901405951162,275.22391921772964
2019-01-05,274.29566551169756,274.7559424832249,275.1975085801012,276.4181914455672,274.66630606764676,274.4034185037377,274.0923661025974,274.16377088501036,274.47910294560444,274.8994190531715,275.3382103378392,274.54163056417764,275.0699510056044,273.90876405374075,275.38970620612156,274.88004851013494,275.0323908619914,274.65886291430184,275.3963998150618,275.76996188139555,275.03197472907567
2019-01-06,274.20464238981725,274.77392758439424,274.86252467196897,275.9339616438781,274.5500610091731,274.24955053418194,273.9679670420094,273.9757935949338,274.39490755255554,274.48958697659094,274.94215143047415,274.56201248059403,274.9430881089427,273.98708008381595,275.433960004978,274.8962465655292,274.72262019018035,274.685928148042,275.1617998672399,275.0876696933808,274.3443524062642
2019-01-07,273.9577405801729,274.4285152108914,274.37203487046014,275.5423878350441,274.4599419772289,274.1775983595992,273.9431423491993,273.85446549290396,274.24158311292825,274.07929597118004,274.62938213446927,274.4050576772584,274.8884018010262,273.627191638327,274.8747888988113,274.52917274854826,274.0283812566139,274.1142445865031,274.60755199456355,274.66479334022006,273.9026719198911
2019-01-08,273.83814031003624,274.06833117046153,274.0479222200481,275.3671880095819,274.339994820752,274.1401098484841,273.93231101061974,273.84048904004146,274.1418323058689,273.9434916958009,274.5232546768624,274.1965616900421,274.692497759671,273.4179261235501,274.4027367955044,274.2763612831282,273.5626747824932,273.7260577450983,274.1303458657914,274.4225886601365,273.4261086621387
2019-01-09,273.81865053740654,273.8114947705492,273.79159425561073,275.2187997135084,274.3365423357054,274.16153280668186,273.9210074562708,273.84817956667933,274.0730684919415,273.9209930329928,274.47948395976925,274.010711405737,274.60614580439943,273.370680605248,274.00820543912175,274.0333004960799,273.48240931422265,273.69146718822344,273.6781744089661,274.06591158360243,272.9611086501083
2019-01-10,273.8694739124559,273.77243749163864,273.6715155173312,274.976276238014,274.4608708137703,274.2825576927775,274.0552999723268,273.95291206248015,274.056426851582,273.97843236049033,274.4972620511589,273.9899049642259,274.6543643409222,273.3411378790193,273.8977524135149,273.95875538702217,273.4668099221461,273.6427066059638,273.53287471585526,273.85872456728134,272.8427751898456
2019-01-11,273.9384175907235,273.800956328419,273.6478382631091,274.9923117620688,274.57183936683185,274.42734352812914,274.11043812408155,274.0153250289302,274.1917029363543,274.04998961779347,274.5902795588363,273.99058856887103,274.69111218744183,273.34789082070046,273.9038325927764,273.9551880910865,273.44465220657037,273.6233882785337,273.5277312442123,273.8370114860271,272.8457082876568
2019-01-12,273.9824672404701,273.7608439329068,273.62533660591674,274.8707920085243,274.56970834253354,274.4544924783234,274.04640558592865,274.03899768545875,274.21295355386155,274.009185139826,274.5691027191084,273.92870168332064,274.64032435030265,273.34183739566254,273.84618262977557,273.88473274936774,273.46558383577275,273.63544494517714,273.5064060628781,273.7918960206516,272.83219545839313
2019-01-13,273.98954443857446,273.7297945961589,273.61229596884704,274.8679143771288,274.5353030153079,274.4355695689712,274.00127293054925,274.0215901037598,274.23565942171786,274.0031069447815,274.5580806049694,273.8809681975933,274.6002566191689,273.32439831234103,273.74021198103134,273.80327941425406,273.4483711162538,273.60022198494863,273.43180670842173,273.73483972824835,272.7830550719397
2019-01-14,273.8892844921513,273.65760674107366,273.52897982454755,274.68933568726624,274.4913790759868,274.3652513056928,273.9055770093452,273.9398488277173,274.1260966393096,273.84777137476965,274.43288964556547,273.88703939485737,274.60637461652396,273.4107582180645,273.7285547271188,273.81775100985664,273.4624012034403,273.6514503313246,273.4208811028838,273.66476761261237,272.68977556291316
2019-01-15,273.84591254835425,273.62221391896253,273.4203741276466,274.3920766938556,274.4134577079145,274.3044510409672,273.85578792267165,273.876268977869,273.9459811055836,273.7060429178763,274.24253185825114,273.8918097813491,274.6241309942771,273.46854040983106,273.73148512126073,273.8260856648462,273.5202982771058,273.71592326227545,273.4207885261484,273.6085495181939,272.6941682270919
