Date,FRI2,FRC2,FRI3,FRI1,FRB0,FRC1,FRK1
2019-01-01,24703.58034150469,24805.968214858687,24663.443591460684,24693.746223940994,24679.081151367365,24709.40330417089,24740.459538186915
2019-01-02,24708.8538381235,24812.025738159125,24666.08855592239,24694.859891272565,24681.214479792052,24711.787089027373,24744.709242261633
2019-01-03,24721.46429408859,24808.53936711065,24677.992481751073,24706.046271214014,24690.45264877541,24715.504284983203,24749.71628471985
2019-01-04,24742.114910376717,24831.72449912245,24686.62549530434,24730.46631717396,24697.524171761197,24728.931763598703,24763.66802477829
2019-01-05,24751.455793707562,24845.859147080042,24695.324512498624,24739.485042981996,24700.926548718442,24733.680227723486,24770.98412256333
2019-01-06,24758.600645304203,24847.273296742726,24698.8219851743,24743.17094607295,24704.121495265066,24735.07032679764,24775.38668304048
2019-01-07,24798.569447095742,24868.756214827943,24730.794467659303,24775.730871922227,24723.95249980978,24751.538091929946,24794.643651412556
2019-01-08,24812.722936720602,24879.59757364817,24742.03196946958,24784.768307970215,24729.04192440615,24756.57919547192,24805.924525324812
2019-01-09,24820.385653627454,24891.451610896063,24749.865381524847,24790.701709670666,24734.586287709386,24760.221256770146,24813.19843103395
2019-01-10,24850.375751158266,24909.63208128323,24772.008845457003,24806.76499559607,24745.718899692016,24770.222242271175,24824.73747184283
2019-01-11,24868.47028899658,24937.86092774731,24784.290485687132,24817.066821539163,24753.603720952186,24776.76286836789,24827.16350958267
2019-01-12,24871.43455388929,24942.485395393414,24786.06765885033,24819.552619615006,24752.508658678005,24773.817066392643,24820.29875617902
2019-01-13,24874.96884078309,24951.92796783709,24792.743069005166,24819.228782889662,24754.845176892963,24777.16918453673,24820.352599356997
2019-01-14,24893.956696945887,24961.977360218418,24810.22622510335,24833.95986046574,24765.604498159195,24784.417844823107,24831.32704111287
2019-01-15,24901.982118973665,24968.91673379581,24814.958828884977,24841.102264747566,24768.05442037591,24787.681596784885,24834.9239625015
2019-01-16,24905.530330260655,24972.899339033407,24817.79647286472,24844.098396498026,24769.678346975954,24789.634391770258,24836.678056057077
2019-01-17,24908.321420314165,24977.76681097312,24821.640079344343,24846.868562832897,24771.5132107059,24791.592383311072,24837.32955989524
2019-01-18,24921.552801175825,24981.165114459352,24830.040755665606,24855.412292428417,24777.790162165405,24795.054052615757,24844.268867396764
2019-01-19,24928.298528557596,24986.300230333145,24834.109530783702,24858.737427887347,24781.36691084101,24797.18579327785,24846.769718818174
2019-01-20,24935.858070033195,24990.089872114288,24838.843116493288,24860.611247301495,24784.579342557627,24800.77678360305,24850.440876088443
2019-01-21,24937.222332438116,24993.28019091796,24840.69151496692,24862.588975947874,24784.78186320154,24802.75997741871,24849.159799036108
2019-01-22,24940.950187360966,24987.837281488075,24844.473838502247,24865.80782318994,24788.9429909811,24801.400414609994,24844.725057351414
2019-01-23,24943.64737876656,24986.427687002717,24845.722521481293,24866.663771302272,24790.635285751643,24802.211279187224,24844.68234886974
2019-01-24,24943.130163857164,24984.579974939752,24846.8831090542,24868.170365847855,24790.58144434747,24801.375540766145,24844.38037298283
2019-01-25,24944.139667207764,24987.750221270588,24851.01847360616,24870.99336378649,24792.098580946626,24801.474946991788,24844.438813250053
2019-01-26,24947.65874861359,24988.18511146851,24850.793033151716,24874.074775286957,24791.85135347912,24799.983965530806,24845.816629949626
2019-01-27,24949.419878047174,24989.95099877075,24851.078487361166,24874.05114978682,24792.383145112948,24800.800807133975,24846.450302156805
2019-01-28,24949.310462635865,24986.24588114683,24855.348137356257,24873.83992543515,24798.622002357883,24799.79470642642,24844.839430679083
2019-01-29,24950.91712920699,24987.351931488018,24854.119731698513,24872.941020188562,24799.65269337225,24799.152043478796,24844.82871930522
2019-01-30,24959.0435815654,24991.025166592826,24862.41678314208,24873.90235778722,24811.476076209427,24807.908763532363,24847.69085221723
2019-01-31,24971.458938731914,25012.643876593043,24873.556372244442,24878.150191491324,24823.05721832472,24826.93660978763,24852.92673846589
