Date,TP
2019-01-01,273.6512025437116
2019-01-02,277.4669176474607
2019-01-03,282.2704256197138
2019-01-04,286.9508028642053
2019-01-05,279.0091116355527
2019-01-06,276.9069069760594
2019-01-07,291.3208370561088
2019-01-08,281.14855757478813
2019-01-09,279.4508291590705
2019-01-10,283.8861688966332
2019-01-11,285.39307711235153
2019-01-12,277.21182218822435
2019-01-13,275.7501621058654
2019-01-14,283.4046702843119
2019-01-15,276.3186193756896
2019-01-16,273.8099004707041
2019-01-17,273.6714441425105
2019-01-18,278.3327998150479
2019-01-19,274.8440678008486
2019-01-20,275.0240306678434
2019-01-21,274.9600067054141
2019-01-22,276.04109468074574
2019-01-23,274.7026312952761
2019-01-24,272.1800448222086
2019-01-25,272.91853339561743
2019-01-26,274.3407882871638
2019-01-27,276.6542860541323
2019-01-28,277.9295408425977
2019-01-29,275.78714729945534
2019-01-30,283.68550757360646
2019-01-31,286.3149990755787
2019-02-01,277.515127983874
2019-02-02,277.192988372014
2019-02-03,283.2780844430605
2019-02-04,278.1953534961417
2019-02-05,276.3757645875696
2019-02-06,274.07750924332225
2019-02-07,283.0388160856374
2019-02-08,282.0141531020796
2019-02-09,295.25860837269335
2019-02-10,279.5856531274008
2019-02-11,277.0056576489018
2019-02-12,284.1009118852527
2019-02-13,284.5699797024657
2019-02-14,280.1106286247004
2019-02-15,274.5450346764671
2019-02-16,273.57260529880085
2019-02-17,275.0833488444188
2019-02-18,276.67393201385505
2019-02-19,274.747521670179
2019-02-20,280.0056391999909
2019-02-21,275.445369054657
2019-02-22,273.5501258502294
2019-02-23,283.3666535403616
2019-02-24,284.2257817653068
2019-02-25,280.92106510841955
2019-02-26,276.47190805967523
2019-02-27,275.9990727299781
2019-02-28,274.2608925985342
2019-03-01,277.4972911709871
2019-03-02,284.6173419820086
2019-03-03,279.50516793480153
2019-03-04,283.526700002455
2019-03-05,280.92318922806504
2019-03-06,275.5848183052257
2019-03-07,274.75091319431573
2019-03-08,273.47127691634336
2019-03-09,278.7679624314738
2019-03-10,275.96684122111145
2019-03-11,274.5823071933858
2019-03-12,274.3269595459696
2019-03-13,274.0000017549066
2019-03-14,274.41856221594975
2019-03-15,273.5939649706964
2019-03-16,274.2481465369851
2019-03-17,275.44418003726804
2019-03-18,275.25782449806155
2019-03-19,274.32354189866925
2019-03-20,275.8456658108203
2019-03-21,274.33598195577633
2019-03-22,274.44205264720193
2019-03-23,274.9115654732613
2019-03-24,274.0798309947077
2019-03-25,274.6014939850001
2019-03-26,274.3814051396209
2019-03-27,279.13579105120726
2019-03-28,277.3506490108122
2019-03-29,274.432223363097
2019-03-30,274.2536852529126
2019-03-31,286.02865248991924
2019-04-01,281.3276203245349
2019-04-02,275.8982554274175
2019-04-03,280.5505865961995
2019-04-04,281.1304090198222
2019-04-05,281.5182508681868
2019-04-06,276.99851995682405
2019-04-07,274.2900552517376
2019-04-08,274.343433797067
2019-04-09,275.14907887559866
2019-04-10,274.8715203757821
2019-04-11,278.8972371653058
2019-04-12,279.77013770545676
2019-04-13,280.7118090676192
2019-04-14,277.1790980057323
2019-04-15,277.6100154247788
2019-04-16,280.7895214412668
2019-04-17,282.29665154314773
2019-04-18,276.53094064897437
2019-04-19,272.9588490214172
2019-04-20,272.0360615348832
2019-04-21,274.3624281439206
2019-04-22,276.4900996642085
2019-04-23,277.6752396413519
2019-04-24,278.3231537894552
2019-04-25,276.25379207912755
2019-04-26,280.1190781134173
2019-04-27,278.0667401466627
2019-04-28,275.00210402384516
2019-04-29,275.7203989721543
2019-04-30,280.32234765972777
2019-05-01,279.09801916745704
2019-05-02,275.1149268298392
2019-05-03,273.37175432167106
2019-05-04,273.2669401080174
2019-05-05,272.4356835727429
2019-05-06,274.6480789950233
2019-05-07,276.15632880495923
2019-05-08,276.652077987327
2019-05-09,279.8301727400441
2019-05-10,283.10605012842984
2019-05-11,282.27421663176216
2019-05-12,280.53256730956485
2019-05-13,277.9724536850032
2019-05-14,275.44116333109446
2019-05-15,273.7991260555555
2019-05-16,274.24194170037634
2019-05-17,274.5607526457626
2019-05-18,274.6842310458897
2019-05-19,277.3287617981344
2019-05-20,273.82600301106856
2019-05-21,277.4840704973957
2019-05-22,286.27842530796016
2019-05-23,283.4752715429776
2019-05-24,275.439840640442
2019-05-25,273.78555890491145
2019-05-26,274.61022947138895
2019-05-27,276.5310254750087
2019-05-28,280.35811602300987
2019-05-29,282.013084060885
2019-05-30,283.36752309294695
2019-05-31,285.88558407410034
2019-06-01,278.89460604979917
2019-06-02,276.87667813547694
2019-06-03,276.8488097796349
2019-06-04,276.788935969328
2019-06-05,276.98434846275023
2019-06-06,277.8772451883371
2019-06-07,278.78283197676046
2019-06-08,276.51286957601343
2019-06-09,273.86309605707993
2019-06-10,275.3466440892833
2019-06-11,280.1190339414244
2019-06-12,279.94538547431364
2019-06-13,277.2894370049282
2019-06-14,276.16615843593274
2019-06-15,279.77584108405824
2019-06-16,283.0850082895615
2019-06-17,280.7880783383727
2019-06-18,280.53166918082013
2019-06-19,276.4220124097293
2019-06-20,274.60721546974
2019-06-21,275.1456373844611
2019-06-22,278.2232357134525
2019-06-23,278.8114783871717
2019-06-24,277.13175030867893
2019-06-25,275.4283290133829
2019-06-26,274.095338456393
2019-06-27,273.823038211934
2019-06-28,274.9376581747937
2019-06-29,275.6073187131077
2019-06-30,275.60990157772665
2019-07-01,275.3818123856355
2019-07-02,274.97747882375177
2019-07-03,274.0947628508419
2019-07-04,273.7875296537892
2019-07-05,275.42281620552274
2019-07-06,274.3663494395253
