Date,FR10,FRB0,FRC1,FRC2,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ2,FRK1,FRK2
2019-01-01,-5.211442722787439,-3.402882248430361,-5.205452412572291,-4.874829636989493,-6.290515113307021,-7.099362191471463,-1.461407869015767,1.7419578506333757,1.3260228938134702,-2.1753223863980033,-0.7868646941017755,-0.319435684566988,-3.5810984506969916,-3.6961290345039974
2019-01-02,-4.701422160519907,-2.957843597737077,-4.779732322529179,-4.507181979298109,-5.8195741148172955,-6.61241900116508,-0.9939499537677282,2.1164453849008593,1.616041687065465,-1.9126095774633298,-0.4327894154796065,-0.08840636542047374,-3.2722138905231146,-3.3960577671802916
2019-01-03,-4.225782424948798,-2.488607731153578,-4.485752518080699,-4.3382843828430495,-5.43411418373357,-6.204402102183193,-0.4169561825286897,2.613452063045373,1.9523640988448947,-1.575740468106139,0.04425192175323832,0.14567691780278774,-3.0645798150258683,-3.3568810052050613
2019-01-04,-3.652913242161361,-1.9705115414912695,-4.160000668435642,-4.238098508132242,-4.971850140094832,-5.795401640964987,0.11247610289128215,2.9109004894477706,2.4175017773403686,-1.2275833759202825,0.568382965373474,0.44358625912511507,-2.8566021547354175,-3.3917089944619145
2019-01-05,-3.368787398771967,-1.7695575141574158,-3.935522674146264,-4.1668575510481345,-4.657131636960999,-5.526260545423937,0.22097428540542344,2.93413846431824,2.5720301910905268,-1.1196334562258148,0.7114727799110686,0.5143722363206843,-2.787227480358943,-3.4274592433807385
2019-01-06,-3.216410433767444,-1.702966692462395,-3.9875130563054673,-4.33334738965432,-4.591261532160433,-5.528057200316317,0.38411187266228103,3.0448374833901797,2.5186092135659175,-1.2372823740215073,0.7761991880353872,0.24034790341608478,-3.0162509367104184,-3.706199704409497
2019-01-07,-3.124451795976306,-1.5806792140139678,-3.9875084261325884,-4.553204595059771,-4.617017574059257,-5.689597138670443,0.5389142959477388,3.0980733858818974,2.559874796622046,-1.2200333595063337,0.910826256582267,0.09863179748177217,-3.119486288013077,-4.004236227048574
2019-01-08,-3.2554734703351933,-1.601212944053417,-3.930594532105803,-4.603536720649416,-4.68750808338332,-5.77110154478589,0.47415918469260826,2.9686622055605483,2.605659593389372,-1.1284821977495985,0.9910611379249706,0.02256525639986224,-3.1168946482741013,-4.152972831977313
2019-01-09,-3.2914814527591507,-1.5548945003386445,-3.8815341893661794,-4.659469029724784,-4.776968664935114,-5.918381657215209,0.5357886350007575,2.9219186397793506,2.608126081243977,-1.105358436196902,1.1008563309727772,-0.09135577825758097,-3.1389037388698844,-4.243270012862349
2019-01-10,-3.252349436933016,-1.5940300466595738,-3.880727052209527,-4.735635254033424,-4.750781943336202,-5.9487503108539155,0.5238923082903231,2.840381326102957,2.5517531685023798,-1.2371981980497433,1.035245005536351,-0.24196002357839505,-3.2516724417790663,-4.448500342445008
2019-01-11,-3.1782567889190516,-1.6494935971032525,-3.7540168933128473,-4.6100445132790195,-4.57567103376735,-5.765465505832121,0.46245751831390464,2.7718776910813525,2.5877598810202214,-1.3213115064061345,0.956790197693152,-0.25105863426761726,-3.237201310773881,-4.442181854586798
2019-01-12,-3.0853400913888587,-1.7057182601499037,-3.645490706835122,-4.573088448932422,-4.4251367627945495,-5.6669200515441505,0.42986770809934294,2.7725101442865205,2.5431582031716577,-1.4598972820888163,0.8780306911480092,-0.37087307641594375,-3.284342953542442,-4.549833810814834
2019-01-13,-2.779938386746736,-1.5118282119765383,-3.4589031203002927,-4.564623417751955,-4.153076913952129,-5.494928061854937,0.6188745660339846,2.9346610197463585,2.5203355503545866,-1.4565213110406685,0.9582589258708154,-0.46636170020796414,-3.283876844181877,-4.772177739767805
2019-01-14,-2.374108573601816,-1.1659763493989839,-3.2281814858762856,-4.6044334987358315,-3.859249954776098,-5.4094765026983955,1.0312019639725272,3.2267169447376274,2.777854341287352,-1.2561849878767757,1.2958409845874457,-0.4162149728373698,-3.2162641817741098,-4.987535437446077
2019-01-15,-2.8551930589096477,-1.5647763741704106,-3.63871279727631,-5.131916863317356,-4.408486480588481,-6.0242064265001005,0.7150399732481374,2.9977405943166686,2.550239379891078,-1.5867106972749485,1.0077545254759843,-0.6653217840532755,-3.56651752081605,-5.489793090050263
2019-01-16,-3.3982433230096625,-2.071294524669993,-4.209819676377451,-5.789098833354179,-4.967592268386599,-6.659525492653519,0.3102076713088948,2.831112012487534,2.081458355991189,-2.1031817991781043,0.4902849454680555,-1.1894797826521455,-4.147113452039172,-6.20255413855426
2019-01-17,-3.654910798564557,-2.3449937907048204,-4.602905325851034,-6.24878184385126,-5.328963397618738,-7.109573840679786,0.0892449764155818,2.7075824743483485,1.6542491114301197,-2.470097922535763,0.15944749029244407,-1.650533295677974,-4.572931477670996,-6.746228064956619
2019-01-18,-4.108421587735503,-2.736005949067023,-5.09430506881422,-6.739845913711037,-5.851456037505437,-7.629710393786331,-0.15303463696524616,2.681505113881103,1.3601203601777443,-2.8317916851137204,-0.14100323309364907,-2.0165296810205824,-5.019562042935987,-7.252507372600571
2019-01-19,-4.315085342421846,-2.854411107695231,-5.253729595013722,-6.918194674883369,-6.086555068276897,-7.857521311360271,-0.18900955553324722,2.7820970579954247,1.3434135134819842,-2.8524433119860353,-0.20418543669647243,-2.0447732573398776,-5.112191905244783,-7.448211408531763
