Date,FRI2,FRC2,FRI3,FRI1,FRB0,FRC1,FRK1
2019-01-01,8202.822117677508,8188.760755449959,8206.620108279112,8196.64345905358,8210.611569622568,8189.318519249959,8193.304910802091
2019-01-02,8210.266113371032,8196.108143504744,8209.866539782055,8200.562999026075,8214.211441843705,8193.148529055647,8199.740170032715
2019-01-03,8226.687581067623,8198.639566019174,8224.290316131306,8213.152076350914,8226.60637318568,8198.607788012783,8205.713865557265
2019-01-04,8247.915170928414,8221.753994860643,8233.61196220682,8237.438701712774,8233.913593104535,8212.194279696965,8220.111829189358
2019-01-05,8257.092793418873,8229.393595614913,8242.33201782976,8247.717976350521,8237.955485065477,8214.195485240347,8227.024387713547
2019-01-06,8262.38821614331,8230.776114375878,8245.93706465522,8252.981058714091,8242.166298085458,8215.395635708,8231.475086554796
2019-01-07,8298.550019054723,8249.682065431954,8276.152394970655,8282.402986859019,8260.69689641768,8230.633117795625,8250.05390951233
2019-01-08,8313.06893064419,8257.587953110453,8288.905908571633,8288.960166263381,8268.784967676358,8236.408356846643,8260.755153831762
2019-01-09,8321.61708215353,8268.151137693034,8295.690420778274,8293.095373359958,8274.51873138985,8240.620759225752,8268.672272267451
2019-01-10,8347.48006305239,8281.449123502178,8314.862414174668,8304.500389957058,8283.51886914816,8248.124942077047,8277.948047178572
2019-01-11,8371.164444535012,8307.771481572361,8328.638028880345,8316.88936113532,8291.700146905749,8257.932504942784,8291.196098827411
2019-01-12,8377.989569267667,8314.45796452712,8332.069420806487,8325.9649377821,8292.874583020897,8260.287286604338,8296.913219734352
2019-01-13,8382.877944602264,8320.810206025206,8335.123893163121,8330.111821550781,8293.60504552435,8263.797932162579,8300.14031787924
2019-01-14,8400.989118077576,8324.800393121895,8348.122942165039,8341.8534861695,8299.456584132346,8269.195548160344,8311.388798261283
2019-01-15,8403.239618874066,8328.329263809635,8348.113632375247,8346.631234669281,8298.92023561611,8270.210133865947,8312.978878491404
2019-01-16,8403.829025157402,8328.804865929742,8346.277659272015,8348.907600518934,8294.591728724034,8269.76436309448,8313.792495022612
2019-01-17,8399.96433099046,8324.515054701578,8344.193935482885,8349.41746364979,8290.72678083816,8266.87404127965,8312.896332332224
2019-01-18,8410.374966449051,8323.847243381306,8351.152318015862,8356.47079422247,8296.61171656077,8269.98267353037,8319.386619890858
2019-01-19,8409.529335942083,8319.93136755908,8348.498966850337,8355.418422112327,8295.439697008012,8268.618451388887,8315.34479592398
2019-01-20,8412.921302456229,8320.961345423606,8349.761581210916,8355.20914046191,8295.602240614488,8269.93003973905,8315.443345210677
2019-01-21,8412.40083322395,8324.276094051738,8348.058337580254,8353.213097265354,8295.969677287898,8272.062998482203,8315.12609055785
2019-01-22,8414.863099523467,8325.547730788197,8348.615185694296,8352.89643712352,8296.468530764965,8272.41351072757,8316.163783769254
2019-01-23,8419.34439546559,8333.872296909165,8350.613616163198,8353.29054253827,8299.422160396734,8276.400803523436,8319.148667630267
2019-01-24,8421.379493777595,8336.317757795628,8352.46861758707,8354.96168139614,8301.206022773235,8278.069035431407,8320.4897544907
2019-01-25,8421.051173752447,8336.186122972902,8350.614632996423,8352.726061130328,8298.500574849255,8277.049106444669,8321.303769091215
2019-01-26,8417.813357068637,8332.358624623419,8350.37641667331,8349.583196339607,8298.402537303065,8275.795632923915,8318.760417102512
2019-01-27,8414.676159627994,8330.995665066925,8349.710551257385,8348.257225211273,8297.877208047492,8274.526778030067,8316.485146060626
2019-01-28,8409.08291632897,8329.175020178729,8349.539087182464,8346.945998945394,8301.47790262921,8274.308194299363,8314.810682106721
2019-01-29,8407.309094892049,8327.549700894948,8350.32701947716,8345.630030491404,8299.832324630539,8272.771292114818,8313.711595801751
2019-01-30,8419.036247752407,8335.98061379378,8361.223360862015,8349.388620348747,8314.557877327794,8283.767853748132,8318.348128739468
2019-01-31,8432.253865458722,8361.513991339983,8373.944791549535,8356.531706517322,8327.431239932703,8304.469917403612,8324.19623424555
2019-02-01,8429.737913503539,8361.375534626677,8373.353491362977,8354.811201125269,8327.837885330333,8307.031313358979,8321.421168842518
2019-02-02,8420.079739893155,8361.674313967409,8363.877058325801,8343.425317396488,8320.162986651705,8304.440126245503,8317.866098331735
2019-02-03,8413.310329026697,8361.00275352251,8364.589380919846,8324.665804445802,8325.407760874908,8307.584754166955,8312.50579248918
2019-02-04,8405.657864722294,8358.31897440596,8356.87604863079,8316.206440012542,8322.056240619826,8309.672622335653,8306.723958192746
2019-02-05,8401.796190773724,8362.15099901029,8355.175522564432,8311.657103206677,8321.343405088357,8312.305816130578,8303.392006357282
2019-02-06,8366.258526862808,8345.331380159349,8325.692119764191,8281.8182124316,8303.981259493909,8297.699690660804,8285.421898588722
2019-02-07,8367.099235664477,8351.765573823335,8324.10533843456,8288.179641603776,8302.201018735079,8299.82916321175,8284.57912718749
2019-02-08,8377.990770328686,8352.404619933768,8328.281112047238,8294.766750603598,8304.63792793361,8301.030439796772,8288.07441961159
2019-02-09,8390.804307571654,8376.92188348042,8341.694755775296,8309.190776569107,8316.845972987572,8310.92744384552,8295.070359418482
2019-02-10,8380.710670839511,8362.570373868266,8334.447888386912,8314.449077300862,8312.43295876226,8305.17704546118,8287.849703382832
2019-02-11,8380.075386248815,8356.000833805056,8334.362705225025,8315.268914005583,8312.186864357924,8303.84732726256,8286.603021442836
2019-02-12,8395.78890957312,8361.231260417208,8344.092543800267,8338.61867927173,8322.276159334055,8310.639731483388,8295.098950751579
2019-02-13,8393.786401426969,8369.446597548307,8340.361844846515,8341.948943662914,8325.913158747704,8313.320971149487,8293.361228148951
2019-02-14,8404.2299700923,8374.095125849319,8348.004486866155,8352.22307206693,8330.308720369268,8316.53594223661,8298.77833035433
2019-02-15,8402.168025566889,8373.42001370093,8347.896796906662,8349.483778239672,8331.409874171646,8316.14323453756,8298.932865650966
2019-02-16,8402.68270731616,8372.070598998136,8347.288857168045,8347.025752955726,8332.471567032679,8316.778916458516,8299.830176427968
2019-02-17,8389.939483966184,8370.601843524964,8339.086612728302,8337.861720294522,8326.876105606327,8313.826299179245,8292.483718481197
2019-02-18,8392.740059862324,8372.197810237287,8345.024311687917,8341.206435796335,8330.265834125976,8313.313699931543,8290.699821554634
2019-02-19,8388.91442698025,8374.396450497321,8342.272651434147,8340.712819419947,8329.50556278576,8311.94161360401,8288.205004142172
2019-02-20,8390.394266400664,8381.814011966086,8342.704402188276,8341.131120346792,8332.341775265086,8321.681485570038,8289.18995459966
2019-02-21,8389.52100155366,8383.545999702119,8339.913695664098,8338.450114215744,8330.83072035817,8322.849343328806,8289.6224103811
2019-02-22,8387.113174054062,8374.862834535072,8339.300304935714,8338.643442063061,8329.811512626438,8318.379693232053,8286.490580181446
2019-02-23,8397.015902068766,8382.321534790153,8343.807697131819,8339.064873835569,8341.279417092674,8327.615151810503,8290.805422144189
2019-02-24,8411.564519105903,8388.67393885601,8355.83389794166,8341.735679484107,8359.372417421837,8339.346111300647,8298.381583321696
2019-02-25,8421.140478401592,8401.162136642399,8360.819729443321,8345.598912615143,8368.14233723723,8348.006869526027,8305.701766035065
2019-02-26,8425.23208462064,8402.894025752365,8364.99575160215,8346.028578594925,8371.006833184867,8349.033156952164,8307.641734982644
2019-02-27,8430.020646020448,8402.150582924587,8368.635963039937,8356.4595977444,8366.27607160902,8349.073375855656,8312.129698101484
2019-02-28,8430.416041439488,8401.675285028106,8366.423096258992,8359.327161318019,8366.940310564887,8349.627384892277,8312.877128344297
2019-03-01,8420.957973459443,8393.941447851155,8355.332405610709,8355.187809792717,8356.372721176578,8342.032497977701,8309.643796578986
2019-03-02,8421.434099734855,8388.119420378727,8350.777677642924,8353.738418893947,8353.983235958385,8336.819372088608,8313.058363425274
2019-03-03,8425.470524594177,8396.863924845713,8352.819065870239,8356.0571410282,8355.601716859499,8339.4760325237,8316.544245205454
2019-03-04,8440.730814708222,8405.542872953023,8361.205274786127,8364.932338352928,8364.231717383227,8347.974668990608,8328.025670315845
2019-03-05,8434.227014109949,8399.644002498442,8355.499472407264,8365.59507348059,8357.54542393462,8338.573164268904,8326.168318064516
2019-03-06,8433.255304325481,8398.208526387654,8354.653597340568,8365.876388806377,8357.119056950243,8335.07560108714,8326.095944867246
2019-03-07,8430.850716443012,8395.100348220934,8351.74970123808,8365.82108553524,8353.706590118118,8332.957093424076,8325.619822794553
2019-03-08,8429.793604428602,8395.620164617532,8350.209224701426,8365.81301568294,8351.984278041522,8332.528277387295,8325.55485724743
2019-03-09,8422.335466685972,8380.44451515757,8346.832420778563,8362.389696192435,8349.675225735511,8325.178315826537,8319.885335992956
2019-03-10,8406.6814651773,8368.82976391217,8339.815831037644,8357.540143140392,8343.578999177664,8320.415358498956,8311.314269446311
2019-03-11,8367.374012739772,8332.28038872809,8306.654873530711,8332.239309523486,8322.264886401454,8302.607764314012,8295.120950805578
2019-03-12,8355.633985382374,8319.085899444653,8300.189028930368,8315.838770396631,8317.658910841858,8298.118205383644,8289.900267421533
2019-03-13,8348.222803210962,8316.383854173298,8295.300833753525,8307.240272203087,8314.898643098248,8295.72011088325,8285.089260453855
2019-03-14,8329.265665362489,8306.385698398362,8282.687646413095,8284.237898115114,8304.493274834698,8286.605203361689,8275.285165207373
2019-03-15,8313.773303805865,8290.651288845396,8273.527598460707,8272.435613281164,8294.323577145124,8277.117309299836,8265.449526370665
2019-03-16,8300.160013261655,8283.049225861016,8263.743982935435,8258.147927185448,8288.737603304065,8273.728402986677,8260.42458199177
2019-03-17,8302.236107226285,8282.607084868969,8263.436635250422,8258.320523898157,8288.33815301517,8274.196341599736,8266.07225669428
2019-03-18,8311.238679654205,8284.09530172545,8270.797536117881,8261.974499483495,8291.808886601577,8276.00400653863,8272.958680583743
2019-03-19,8314.616395439898,8288.294683793187,8272.715403590671,8265.450053326571,8292.086285529094,8276.923893372816,8276.254473381505
2019-03-20,8314.233001487239,8286.955730368945,8268.601186334748,8269.248073859446,8286.940510990311,8276.202312187357,8280.805094553105
2019-03-21,8315.158674212826,8282.450945420196,8269.82213694763,8274.382270991942,8286.784618767932,8274.851994502467,8283.489728930303
2019-03-22,8310.646557705382,8272.097643068853,8267.310080773026,8274.798410728861,8280.568251156785,8262.867977801161,8281.10650530651
2019-03-23,8308.71242779517,8267.815827378345,8268.268881904538,8279.62394811829,8278.519108821949,8260.231858943831,8279.223161529646
2019-03-24,8310.327059252997,8268.650610320366,8268.841088062158,8282.057488776469,8277.434618794929,8260.477627733066,8280.408791025271
2019-03-25,8299.242022705264,8260.97052584855,8262.980681161467,8283.12825870618,8265.744704715073,8251.261912195898,8276.337713469113
2019-03-26,8284.50772537823,8254.15402991492,8252.010417488842,8282.518868499626,8247.183870567686,8239.468740593513,8268.29993931444
2019-03-27,8284.733242371596,8251.094274287718,8249.59708039175,8281.95578494464,8244.953891995949,8239.429903636257,8270.275125982182
2019-03-28,8286.640734502696,8259.010587845647,8248.392937390656,8282.162242228746,8246.421181970747,8244.763018918144,8275.166872561496
2019-03-29,8286.126368120791,8261.467673979912,8243.295423166075,8272.52664795781,8247.545320351532,8245.086121943605,8272.39584164197
