Date,cos,sin
2019-01-01,0.9998520419557735,0.017201575418260506
2019-01-02,0.9994082116062598,0.03439806061360801
2019-01-03,0.9986686402879997,0.051584366869408364
2019-01-04,0.9976335468520451,0.06875540848113941
2019-01-05,0.9963032375991965,0.08590610426133272
2019-01-06,0.9946781061893646,0.10303137904317879
2019-01-07,0.9927586335250793,0.1201261651823505
2019-01-08,0.9905453876091833,0.13718540405660057
2019-01-09,0.988039023376751,0.1542040475626894
2019-01-10,0.985240282501282,0.17117705961019986
2019-01-11,0.9821499931752291,0.18809941761179758
2019-01-12,0.9787690698649216,0.20496611396949532
2019-01-13,0.975098513039961,0.22177215755648186
2019-01-14,0.9711394088771653,0.23851257519407648
2019-01-15,0.9668929289391521,0.2551824131233728
2019-01-16,0.9623603298276545,0.2717767384711357
2019-01-17,0.9575429528116719,0.2882906407095177
2019-01-18,0.9524422234305676,0.3047192331091634
2019-01-19,0.9470596510722283,0.321057654185271
2019-01-20,0.9413968285264122,0.3373010691361842
2019-01-21,0.9354554315134164,0.3534446712740877
2019-01-22,0.9292372181882051,0.3694836834473831
2019-01-23,0.9227440286201427,0.38541335945432564
2019-01-24,0.9159777842484877,0.4012289854475009
2019-01-25,0.908940487313808,0.4169258813287287
2019-01-26,0.901634220265486,0.4324994021339788
2019-01-27,0.8940611451454876,0.44794493940789115
2019-01-28,0.88622350294858,0.4632579225674917
2019-01-29,0.8781236129591848,0.4784338202547012
2019-01-30,0.8697638720650646,0.49346814167723735
2019-01-31,0.8611467540480452,0.5083564379375122
2019-02-01,0.8522748088519838,0.5230943033491326
2019-02-02,0.8431506618282,0.5376773767406141
2019-02-03,0.8337770129585915,0.5521013427459208
2019-02-04,0.8241566360566663,0.5663619330814524
2019-02-05,0.8142923779467267,0.580454927809098
2019-02-06,0.804187157621448,0.5943761565849831
2019-02-07,0.7938439653781019,0.6081214998935418
2019-02-08,0.7832658619336791,0.6216868902665479
2019-02-09,0.7724559775191742,0.6350683134867438
2019-02-10,0.7614175109532997,0.6482618097757122
2019-02-11,0.7501537286959042,0.6612634749656386
2019-02-12,0.7386679638813748,0.6740694616546161
2019-02-13,0.726963615332308,0.6866759803451553
2019-02-14,0.7150441465537444,0.6990793005655562
2019-02-15,0.7029130847082615,0.7112757519738152
2019-02-16,0.6905740195722293,0.7232617254437388
2019-02-17,0.6780306024735382,0.7350336741329413
2019-02-18,0.6652865452111116,0.746588114532413
2019-02-19,0.6523456189565257,0.7579216274973472
2019-02-20,0.6392116531380588,0.7690308592589181
2019-02-21,0.6258885343075018,0.7799125224167177
2019-02-22,0.612380204990065,0.7905633969115482
2019-02-23,0.5986906625177214,0.8009803309782905
2019-02-24,0.5848239578463322,0.8111602420785621
2019-02-25,0.5707841943569036,0.8211001178128892
2019-02-26,0.5565755266413303,0.8307970168121247
2019-02-27,0.5422021592729844,0.8402480696078469
2019-02-28,0.527668345562516,0.8494504794814806
2019-03-01,0.512978386299228,0.8584015232918917
2019-03-02,0.4981366284784055,0.8670985522812081
2019-03-03,0.4831474640149687,0.8755389928586302
2019-03-04,0.4680153284438345,0.8837203473619977
2019-03-05,0.45274469960737107,0.8916401947968874
2019-03-06,0.4373400963303323,0.8992961915530253
2019-03-07,0.4218060770826634,0.9066860720977985
2019-03-08,0.4061472386305789,0.9138076496466615
2019-03-09,0.3903682146763026,0.9206588168102428
2019-03-10,0.374473674486883,0.9272375462179537
2019-03-11,0.35846832151248087,0.9335418911179212
2019-03-12,0.342356891994542,0.9395699859530622
2019-03-13,0.3261441535642696,0.945320046913132
2019-03-14,0.3098349038318025,0.9507903724625832
2019-03-15,0.2934339689665273,0.9559793438440766
2019-03-16,0.27694620226893646,0.9608854255574977
2019-03-17,0.2603764827344581,0.9655071658143364
2019-03-18,0.24372971360968387,0.969843196967294
2019-03-19,0.22701082094141847,0.9738922359149924
2019-03-20,0.2102247521189836,0.9776530844816641
2019-03-21,0.19337647441020586,0.981124629771712
2019-03-22,0.17647097349152166,0.984305844499033
2019-03-23,0.15951325197263655,0.9871957872910085
2019-03-24,0.14250832791617088,0.9897936029670716
2019-03-25,0.12546123335273648,0.992098522791769
2019-03-26,0.10837701279187609,0.9941098647022418
2019-03-27,0.09126072172931188,0.9958270335100595
2019-03-28,0.07411742515094437,0.9972495210773451
2019-03-29,0.056952196034039754,0.998376906467142
2019-03-30,0.03977011384605572,0.9992088560679753
2019-03-31,0.022576263041545485,0.9997451236925734
2019-04-01,0.005375731557583884,0.9999855506507186
2019-04-02,-0.011826390691832589,0.9999300657962057
2019-04-03,-0.029025013321975237,0.9995786855478958
2019-04-04,-0.046215046983708354,0.9989315138848577
2019-04-05,-0.06339140486951038,0.9979887423155984
2019-04-06,-0.08054900421874167,0.9967506498213929
2019-04-07,-0.09768276782171598,0.9952176027737294
2019-04-08,-0.11478762552212701,0.9933900548258936
2019-04-09,-0.13185851571739118,0.9912685467787256
2019-04-10,-0.1488903868564548,0.9888537064205885
2019-04-11,-0.16587819893463143,0.986146248341595
2019-04-12,-0.1828169249850199,0.9831469737221499
2019-04-13,-0.1997015525660636,0.9798567700958665
2019-04-14,-0.21652708524481437,0.9762766110869321
2019-04-15,-0.23328854407545518,0.9724075561219968
2019-04-16,-0.2499809690726521,0.9682507501166718
2019-04-17,-0.26659942067929354,0.9638074231367307
2019-04-18,-0.28313898122818354,0.9590788900341131
2019-04-19,-0.2995947563972602,0.9540665500578387
2019-04-20,-0.31596187665790293,0.9487718864399473
2019-04-21,-0.33223549871590435,0.9431964659565866
