Date,TP
2019-01-01,273.59703937376554
2019-01-02,276.1771141792759
2019-01-03,281.26313585750967
2019-01-04,283.6933035230919
2019-01-05,276.90120437634914
2019-01-06,275.5902792263719
2019-01-07,288.61125496138914
2019-01-08,279.18889616922445
2019-01-09,279.06234858843345
2019-01-10,281.33175282363203
2019-01-11,285.1296357580726
2019-01-12,276.99833275074417
2019-01-13,276.32222435150413
2019-01-14,282.42625267331107
2019-01-15,275.88480992844813
2019-01-16,273.05102424499904
2019-01-17,273.7156573493571
2019-01-18,278.3090885823873
2019-01-19,274.3819371495262
2019-01-20,273.7508979723056
2019-01-21,272.86251514920053
2019-01-22,275.54549092507506
2019-01-23,275.0658028180385
2019-01-24,273.23066732957955
2019-01-25,273.2371807484069
2019-01-26,273.607722807388
2019-01-27,276.5901203811051
2019-01-28,278.5573528855735
2019-01-29,275.42214912198006
2019-01-30,285.46185469254715
2019-01-31,284.7815521439463
2019-02-01,277.4342849512256
2019-02-02,277.5404614567357
2019-02-03,280.70997753736526
2019-02-04,278.84482695370934
2019-02-05,274.74562499395614
2019-02-06,273.3314814450562
2019-02-07,281.7954513856124
2019-02-08,280.40812025335407
2019-02-09,291.31025517428293
2019-02-10,277.5052585007248
2019-02-11,274.8085042714142
2019-02-12,282.9603939792359
2019-02-13,284.7700873040573
2019-02-14,280.71338390662
2019-02-15,275.42119252421344
2019-02-16,273.7371540902385
2019-02-17,276.74072031653424
2019-02-18,277.77501129348747
2019-02-19,276.1446984978126
2019-02-20,281.38938093120913
2019-02-21,275.6083407328145
2019-02-22,274.91152458400586
2019-02-23,283.7165066276687
2019-02-24,282.8782203585604
2019-02-25,279.05921551535175
2019-02-26,274.46575455117284
2019-02-27,276.30840934835305
2019-02-28,273.75247987271376
2019-03-01,276.92375094642125
2019-03-02,282.3711023131102
2019-03-03,279.1687016250521
2019-03-04,282.48062988748677
2019-03-05,281.52663033725827
2019-03-06,275.8306067092895
2019-03-07,275.11526566911783
2019-03-08,274.2420652645149
2019-03-09,277.18487915775665
2019-03-10,275.5852622881511
2019-03-11,273.0541376855293
2019-03-12,273.64784471408575
2019-03-13,272.90913795271126
2019-03-14,273.0049012530715
2019-03-15,273.02602305021253
2019-03-16,273.4672926357597
2019-03-17,274.5945960186881
2019-03-18,273.75202610110745
2019-03-19,272.7756251711162
2019-03-20,275.3077387781715
2019-03-21,274.7402576309208
2019-03-22,272.38036961665483
2019-03-23,271.57219235319076
2019-03-24,272.3204653333981
2019-03-25,274.00310576346226
2019-03-26,273.07649952699524
2019-03-27,276.70728917094283
2019-03-28,276.13216907911897
2019-03-29,273.80477785884773
2019-03-30,273.248548195587
2019-03-31,282.92910065627245
2019-04-01,279.2147107492636
2019-04-02,276.69224747812075
2019-04-03,278.8894506547204
2019-04-04,277.60179878996325
2019-04-05,277.4914023900565
2019-04-06,274.57679261705846
2019-04-07,272.5841318476835
2019-04-08,272.7614096034205
2019-04-09,274.1835660125141
2019-04-10,274.744004735855
2019-04-11,276.30168991475193
2019-04-12,277.568649952154
2019-04-13,278.84245181195064
2019-04-14,275.6682950483195
2019-04-15,276.6085701914514
2019-04-16,278.9645641731936
2019-04-17,280.01409884429177
2019-04-18,274.9657700366148
2019-04-19,272.9863524833257
2019-04-20,271.9862878501256
2019-04-21,273.373373833086
2019-04-22,275.86981651637103
2019-04-23,276.5645933684974
2019-04-24,276.12920512698275
2019-04-25,276.75032456815023
2019-04-26,280.4086645081813
2019-04-27,277.3436532471591
2019-04-28,275.31045557191874
2019-04-29,275.9264131094679
2019-04-30,280.3364547628383
2019-05-01,277.7967813343981
2019-05-02,275.01689292776797
2019-05-03,273.2639077524153
2019-05-04,273.1602287515451
2019-05-05,272.52711233673307
2019-05-06,272.8259327047904
2019-05-07,274.4141414062844
2019-05-08,274.948865441999
2019-05-09,277.75177966883217
2019-05-10,281.0816603541718
2019-05-11,281.04472556869086
2019-05-12,280.7866271375693
2019-05-13,278.37132643759054
2019-05-14,274.97542959763655
2019-05-15,275.05914064879846
2019-05-16,275.0551520937548
2019-05-17,274.25444561948814
2019-05-18,274.0619838499631
2019-05-19,275.36232610365425
2019-05-20,274.3583100423527
2019-05-21,277.44150054002824
2019-05-22,285.51582689914255
2019-05-23,283.5461407619433
2019-05-24,276.4897374556705
2019-05-25,273.92676963097995
2019-05-26,274.96857603005344
2019-05-27,274.8093370874997
2019-05-28,277.92665488495555
2019-05-29,280.2501769388575
2019-05-30,280.60825015623874
2019-05-31,284.19943290034536
2019-06-01,278.2996301281128
2019-06-02,275.09688960242227
2019-06-03,275.97411559510067
2019-06-04,277.3358259674805
2019-06-05,278.1310990222785
2019-06-06,277.4772204619701
2019-06-07,278.8740844103305
2019-06-08,277.0305375109215
2019-06-09,273.9040886282047
2019-06-10,274.3507069152537
2019-06-11,279.66522024293783
2019-06-12,278.70417786883144
2019-06-13,275.7201979997519
2019-06-14,276.019178648433
2019-06-15,276.9484958615625
2019-06-16,278.7114051230027
2019-06-17,277.11530463998287
2019-06-18,276.7766838785546
2019-06-19,273.90647608706394
2019-06-20,273.8242363594892
2019-06-21,275.1148987405845
2019-06-22,277.7659786654637
2019-06-23,279.53913064537403
2019-06-24,276.9571036597798
2019-06-25,274.82184891803183
2019-06-26,273.11297139541864
2019-06-27,272.6094812428507
2019-06-28,272.4234404922504
2019-06-29,273.922788434687
2019-06-30,272.71513433606714
2019-07-01,271.8229934192023
2019-07-02,273.3502730254803
2019-07-03,273.74041780589073
2019-07-04,272.04462767804193
2019-07-05,272.66973931468465
