Date,TP
2019-01-01,275.6732285669811
2019-01-02,277.02283016219405
2019-01-03,282.6400970663753
2019-01-04,284.82121372514075
2019-01-05,277.8153250895797
2019-01-06,277.85914612250355
2019-01-07,290.4334768689156
2019-01-08,279.0808165366597
2019-01-09,278.4741725614229
2019-01-10,282.0588390266298
2019-01-11,284.56097991226466
2019-01-12,277.8852801106702
2019-01-13,275.4409505374809
2019-01-14,281.9766487373111
2019-01-15,275.59335849509955
2019-01-16,274.3135032335409
2019-01-17,274.8224262892733
2019-01-18,279.3684942569126
2019-01-19,276.90609460227705
2019-01-20,276.3181804857291
2019-01-21,275.5888094465596
2019-01-22,276.8189637688521
2019-01-23,276.675140377871
2019-01-24,276.99959220800594
2019-01-25,274.5343015380121
2019-01-26,273.89444779444784
2019-01-27,276.0663480376206
2019-01-28,279.1211015566933
2019-01-29,275.2797627070323
2019-01-30,285.0498448142401
2019-01-31,282.16631130358013
2019-02-01,276.2739855869496
2019-02-02,277.15233935826257
2019-02-03,281.4077080854199
2019-02-04,279.2288734880579
2019-02-05,275.991160996782
2019-02-06,273.0031468072285
2019-02-07,283.7670952040309
2019-02-08,281.0137465818244
2019-02-09,292.02281396574784
2019-02-10,278.834465719233
2019-02-11,275.11116070823016
2019-02-12,283.66601204566007
2019-02-13,284.5893361707646
2019-02-14,279.392324977437
2019-02-15,275.7617742256866
2019-02-16,274.41566312637934
2019-02-17,275.544708900831
2019-02-18,277.8366216655084
2019-02-19,275.0749586941802
2019-02-20,284.24168193933394
2019-02-21,276.9940145157485
2019-02-22,276.87125652689394
2019-02-23,284.0423416635523
2019-02-24,283.4234698836871
2019-02-25,279.43892850362425
2019-02-26,274.61358656075805
2019-02-27,276.20649029599537
2019-02-28,274.3163986658466
2019-03-01,278.37239009781916
2019-03-02,283.83296228627006
2019-03-03,280.0777723787079
2019-03-04,283.77359112161
2019-03-05,282.84830867606945
2019-03-06,275.9966689225609
2019-03-07,274.03599828921307
2019-03-08,274.0184990099313
2019-03-09,277.81278769895994
2019-03-10,275.35310175187334
2019-03-11,273.78405158036105
2019-03-12,274.43599875489315
2019-03-13,274.66954728138853
2019-03-14,275.2711802945174
2019-03-15,275.3076786672766
2019-03-16,275.71668686689577
2019-03-17,275.6413910461112
2019-03-18,274.5385490706095
2019-03-19,274.80849485387836
2019-03-20,275.50580627185474
2019-03-21,274.80580359975454
2019-03-22,274.0737189161555
2019-03-23,273.9198377454054
2019-03-24,274.9579043219497
2019-03-25,276.195922638492
2019-03-26,273.6555285226691
2019-03-27,278.01276016239626
2019-03-28,278.13250866128175
2019-03-29,275.499786717056
2019-03-30,274.182029857724
2019-03-31,285.360706501072
2019-04-01,281.86273240535326
2019-04-02,279.76693542186786
2019-04-03,280.545668526301
2019-04-04,279.33776096409827
2019-04-05,281.04446117286903
2019-04-06,276.4319393560525
2019-04-07,274.5353460361911
2019-04-08,274.4346542317392
2019-04-09,274.809844123124
2019-04-10,274.6925973752239
2019-04-11,276.95649786501
2019-04-12,279.49443355377866
2019-04-13,279.1944501751409
2019-04-14,277.06446892322396
2019-04-15,278.18190364508337
2019-04-16,279.4886517515436
2019-04-17,281.5629727738756
2019-04-18,276.54152526568805
2019-04-19,274.36923625635166
2019-04-20,273.8534058378396
2019-04-21,275.05261214810446
2019-04-22,276.8481111616613
2019-04-23,276.40859005763303
2019-04-24,276.9552929481589
2019-04-25,275.7220738737379
2019-04-26,279.90305924730126
2019-04-27,277.16825374483716
2019-04-28,274.8694963892809
2019-04-29,275.4784955904769
2019-04-30,279.50232250285296
2019-05-01,277.73142368588776
2019-05-02,274.4662389379092
2019-05-03,274.4346921629364
2019-05-04,273.13015777433645
2019-05-05,272.9846355299027
2019-05-06,273.54277523233026
2019-05-07,274.02454365000256
2019-05-08,275.61389913419487
2019-05-09,279.98550477524304
2019-05-10,283.1478721088403
2019-05-11,282.4790186957724
2019-05-12,281.41652441421706
2019-05-13,278.45403160849935
2019-05-14,275.2615450996579
2019-05-15,274.5621111887426
2019-05-16,276.04184461357136
2019-05-17,274.6291358128342
2019-05-18,275.79494361395496
2019-05-19,276.80391515710005
2019-05-20,275.47453463224144
2019-05-21,276.9282617596774
2019-05-22,286.1810109530149
2019-05-23,284.0997203706194
2019-05-24,276.47249590907296
2019-05-25,275.1385119683758
2019-05-26,275.35565664116467
2019-05-27,275.07146456459003
2019-05-28,277.68425065307946
2019-05-29,279.69588618259195
2019-05-30,280.914341799032
2019-05-31,284.28201050067486
2019-06-01,278.1358849211683
2019-06-02,275.76674059787445
2019-06-03,275.2396235201437
2019-06-04,275.8745444340315
2019-06-05,276.9323237824706
2019-06-06,277.04792501716327
2019-06-07,279.0558356157032
2019-06-08,276.56147548577906
2019-06-09,273.5472639849092
2019-06-10,274.9531312320584
2019-06-11,278.44909332092635
2019-06-12,279.0409954571461
2019-06-13,276.2146104247531
2019-06-14,275.4433964265927
2019-06-15,276.8228839599536
2019-06-16,279.91897959990837
2019-06-17,278.6017000177174
2019-06-18,277.218717236915
2019-06-19,274.3483420638974
2019-06-20,274.1634707974254
2019-06-21,273.91786637566867
2019-06-22,276.4959828798483
2019-06-23,278.794261479656
2019-06-24,277.51895952174203
2019-06-25,274.719167454479
2019-06-26,273.98560556040474
2019-06-27,274.31656867358834
2019-06-28,273.06210358845334
2019-06-29,274.2223723523398
2019-06-30,273.8060496939441
2019-07-01,272.31397636297396
2019-07-02,272.8097802605245
2019-07-03,272.25635410542134
2019-07-04,273.7172705892518
2019-07-05,274.2513249085753
2019-07-06,273.52357891353705
