Date,FR10,FRB0,FRC1,FRC2,FRD1,FRD2,FRE1,FRE2,FRF1,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ1,FRJ2,FRK1,FRK2,FRL0
2019-07-19,276.1659986974857,275.9119478778629,276.4988955135032,279.23827442954115,274.2423841948992,274.614593332382,274.8766314294896,275.7698146124805,279.3612685735568,276.58723279668567,277.51545844176405,274.28360175171355,273.4163850720289,273.27502472805554,275.3829171057778,273.826248016952,274.2017947940112,274.8057325289446,276.29253187341436,277.42661242599775,275.4861761285842
2019-07-20,276.0645685779608,275.8293507158476,276.3768936850118,279.10299223156363,274.28096232693866,274.6091937813505,274.8038425092763,275.59943393134466,279.10713062025366,276.4092830424171,277.31032227334623,274.29314534562633,273.4211299097707,273.2534921317311,275.2523838104068,273.7784426859956,274.14697530023034,274.78380399826113,276.18364350728314,277.27568321669776,275.4201515120901
2019-07-21,275.8892682375788,275.70801802938325,276.2602409853598,278.98260576776266,274.25804069863227,274.4809142214726,274.70395384042007,275.39460371465316,278.85747833001335,276.1889046663704,277.0425235919793,274.30817408558465,273.4446079299262,273.19812142888077,275.1832600504985,273.7868014157501,274.05590182175666,274.6380935370876,276.101673617859,277.0862019735472,275.26639489634925
2019-07-22,275.5833390581654,275.55978020801547,275.8537275311149,278.4840658673606,274.1686850651389,274.3692171468954,274.5287460717649,275.1237705746562,278.44915679577133,275.8996970987999,276.6641036965639,274.27591857392605,273.4329628265812,273.1681868820062,275.0822543910135,273.767104413043,273.8889179786128,274.5727097082596,275.78129689397605,276.587594733149,274.9552092575103
2019-07-23,275.517674588947,275.5084772431475,275.6687977758963,278.1565076405531,274.1525698789324,274.39230981196863,274.458900773864,275.04182821896774,278.0771241740082,275.73845653854085,276.35470390340043,274.28057658372666,273.4146132978339,273.13489264158517,274.94748383125483,273.73800105144545,273.8178325034676,274.56487440289845,275.6206268755364,276.2284352197818,274.75666374620516
2019-07-24,275.53180338319436,275.4742670069697,275.6169608119896,278.01705335915875,274.264869294245,274.49886102512517,274.563861483033,275.1024971274934,277.94091646371464,275.6766445550845,276.2437793762219,274.3058662993446,273.54101186890995,273.1229085637105,274.92039691458393,273.7606772601912,273.82090534448423,274.56747196783436,275.5899610292677,276.1574072577872,274.7138976617245
2019-07-25,275.58158017935966,275.50931557269075,275.75213086740933,278.26541379405256,274.2235336604166,274.57854263288084,274.9573576950273,275.2766935221564,278.07368025367583,275.85043270725714,276.4615051657242,274.2239966688708,273.3617278957689,273.11222009716306,275.00426713172345,273.75684428304373,273.8185533251168,274.52090122367116,275.7063815719701,276.23314672608757,274.74465372167043
2019-07-26,275.371174080592,275.26276408223896,275.54843578169243,277.89762686438746,274.0604262150815,274.50462958136416,275.0294333350783,275.20028637843404,277.81961430841307,275.59419059989415,276.2704742496626,274.07332937414225,273.21198042959094,273.0787026553492,274.8426198926785,273.69283182609445,273.8385506325523,274.47104790270276,275.62054742331475,276.51910998634725,274.84773401126455
2019-07-27,275.0824574394051,275.0000686989045,275.26704878817503,277.29801999559874,273.98482298639243,274.4003438241222,274.9427313598529,275.07888740836245,277.2724573159239,275.403768585729,276.0377140560657,273.958822737083,273.17163340545216,272.96079768478626,274.5561268062915,273.5512319447834,273.8126028923235,274.36571748583884,275.4686246851246,276.54772551896315,274.9924683250194
2019-07-28,275.0402599078068,274.96781199683414,275.2338813672708,277.30083766799874,274.0920225887217,274.4884949770364,275.0543106853732,275.1676274776338,277.11430075813536,275.59610231163686,276.04184024863775,273.97555417260156,273.2278440158706,272.9061824680493,274.4538052692978,273.5095900445088,273.76772967089175,274.25471918282784,275.3822753779424,276.5592921417585,275.03740727131054
2019-07-29,275.088302291949,274.9421328878928,275.29868589914975,277.414324232945,274.08814991173256,274.49659191799765,275.087978042767,275.30976175596413,277.0626195225393,275.7572389862074,276.0037354280538,273.9580196235165,273.23290848211855,272.84623021472447,274.3150565519129,273.45441104863403,273.7317142695208,274.16219467987105,275.338465870553,276.66979840418446,275.0458755554427
