Date,TA
2019-01-01,-0.6128284600587124
2019-01-02,-0.3760398391835656
2019-01-03,-1.9793372574318322
2019-01-04,-1.682137287411513
2019-01-05,-2.8372721124683635
2019-01-06,-3.210096985400351
2019-01-07,-1.4687786851208466
2019-01-08,-1.512690595758453
2019-01-09,-0.1761194117070613
2019-01-10,-0.4091004514717992
2019-01-11,-0.23671393314661246
2019-01-12,-1.2891282939435331
2019-01-13,-2.4308970702612167
2019-01-14,-2.1499614792719974
2019-01-15,-3.4073033031932027
2019-01-16,-5.8444314539265605
2019-01-17,-5.985040861842679
2019-01-18,-6.30430940316967
2019-01-19,-4.463272515516466
2019-01-20,-4.340102753338759
2019-01-21,-5.647275819627462
2019-01-22,-3.3744661187233813
2019-01-23,0.4067959813957854
2019-01-24,0.12127791305397437
2019-01-25,1.3917165386407742
2019-01-26,1.2348088567738293
2019-01-27,1.0054481532317272
2019-01-28,1.204686976699789
2019-01-29,0.9213874947575327
2019-01-30,0.22027873742868523
2019-01-31,1.2935698071108301
2019-02-01,2.523421097867989
2019-02-02,2.43097929896284
2019-02-03,-0.4053317614405234
2019-02-04,-1.287732520346013
2019-02-05,0.698122174501005
2019-02-06,0.15642170202293856
2019-02-07,-1.5409529242292508
2019-02-08,-1.5461458240881356
2019-02-09,-1.9602580772978786
2019-02-10,-5.642828168607137
2019-02-11,-5.616261924315344
2019-02-12,-4.223547308727232
2019-02-13,-2.302607119897282
2019-02-14,-2.7757889329075676
2019-02-15,-5.094945043084765
2019-02-16,-4.7489784867409055
2019-02-17,-5.376860938882426
2019-02-18,-4.562576421557591
2019-02-19,-3.831559836406647
2019-02-20,-0.6270292755150799
2019-02-21,2.8077658842179707
2019-02-22,2.1175147639653265
2019-02-23,1.4125346087288244
2019-02-24,1.729017622337167
2019-02-25,0.7141337956008245
2019-02-26,-1.6858591186068328
2019-02-27,-2.542137089816081
2019-02-28,-2.643865900853501
2019-03-01,-1.0792932126445167
2019-03-02,0.0656889984489738
2019-03-03,-0.20379632992465824
2019-03-04,-0.5498947789569248
2019-03-05,-0.8539845583202386
2019-03-06,-2.207687235690203
2019-03-07,-2.9555014268308932
2019-03-08,-2.2086548711207725
2019-03-09,-1.200785313452871
2019-03-10,-0.20641040437044844
2019-03-11,0.4872670832044129
2019-03-12,0.8011768399405412
2019-03-13,1.48643037617738
2019-03-14,2.0433860866912297
2019-03-15,2.654610646993846
2019-03-16,2.7238639675698684
2019-03-17,2.8895701223873567
2019-03-18,3.7637391851880673
2019-03-19,4.083372309880136
2019-03-20,4.208324902303609
2019-03-21,4.562279297335082
2019-03-22,4.490248582071898
2019-03-23,4.381333133607893
2019-03-24,4.3144514107185685
2019-03-25,4.662016165817628
2019-03-26,6.164656028031662
2019-03-27,7.178543926839746
2019-03-28,6.072568200106526
2019-03-29,5.529977384413945
2019-03-30,5.916765905170832
2019-03-31,6.705078374667359
2019-04-01,5.525945518862271
2019-04-02,6.011831635832543
2019-04-03,8.449896486357463
2019-04-04,8.478087982622515
2019-04-05,8.524296579288253
2019-04-06,8.586323558096302
2019-04-07,7.343071147490584
2019-04-08,6.571747192494777
2019-04-09,6.366678284735302
2019-04-10,7.115795111150628
2019-04-11,8.574322502683785
2019-04-12,8.876510714051282
2019-04-13,9.192949577997329
2019-04-14,8.877968107542465
2019-04-15,9.883925992308201
2019-04-16,10.011375640737477
2019-04-17,9.231860544854433
2019-04-18,8.439474828523998
2019-04-19,8.540845486891344
2019-04-20,11.343138412804525
2019-04-21,13.918106666704173
2019-04-22,13.825638296699227
2019-04-23,11.6006310589042
2019-04-24,7.562439708154856
2019-04-25,6.142698502361676
2019-04-26,6.670265743960464
2019-04-27,6.889874611967158
2019-04-28,8.256948689295527
2019-04-29,8.886675985200784
2019-04-30,9.669923867280701
2019-05-01,9.964264916375706
2019-05-02,12.019123102723032
2019-05-03,13.622092263490561
2019-05-04,14.210266617702283
2019-05-05,15.429135579815988
2019-05-06,16.739870663955713
2019-05-07,17.71299520535353
2019-05-08,17.26383963922137
2019-05-09,16.534334056359626
2019-05-10,16.31105615737843
2019-05-11,15.287546137965373
2019-05-12,14.312546851198046
2019-05-13,13.890958306646082
2019-05-14,13.354773277793138
2019-05-15,12.651529824799722
2019-05-16,12.457269999300273
2019-05-17,13.690376328124847
2019-05-18,14.46859338158328
2019-05-19,14.719047659794187
2019-05-20,15.417781177317352
2019-05-21,17.558995543613214
2019-05-22,17.79008962851481
2019-05-23,15.496367550558844
2019-05-24,15.427792960638984
2019-05-25,16.93020859670123
2019-05-26,18.583638314495214
2019-05-27,19.874409645611426
2019-05-28,20.32198458486958
2019-05-29,19.898242762640773
2019-05-30,18.51192427323246
2019-05-31,17.62895148061543
2019-06-01,18.065115100586493
2019-06-02,18.615242642708274
2019-06-03,19.069920141740816
2019-06-04,19.832495013655198
2019-06-05,21.36947150889394
2019-06-06,22.113243804026883
2019-06-07,22.621160457083
2019-06-08,22.75187395078853
2019-06-09,22.762964141856553
2019-06-10,22.334341728040208
2019-06-11,21.472453041163075
2019-06-12,20.399830988747745
2019-06-13,19.91281883475491
2019-06-14,19.837059807830016
2019-06-15,19.147564074565622
2019-06-16,18.546302425038974
2019-06-17,19.379629115535955
2019-06-18,20.191742731167803
2019-06-19,20.507882327833382
2019-06-20,20.91909489896587
2019-06-21,22.998091506580856
2019-06-22,25.701881640840703
2019-06-23,28.11747786290565
2019-06-24,27.598535535107853
2019-06-25,25.48599880987175
2019-06-26,23.812951893075724
2019-06-27,23.786676815690754
2019-06-28,25.447353223650197
