Date,TA
2019-01-01,269.31269744093635
2019-01-02,270.3920414580041
2019-01-03,271.0606506046811
2019-01-04,270.9345048950535
2019-01-05,271.02662073016967
2019-01-06,270.299351593034
2019-01-07,271.0273380349088
2019-01-08,272.1727931557774
2019-01-09,272.3642645232155
2019-01-10,272.18056715341385
2019-01-11,271.06513855765604
2019-01-12,269.3926720715625
2019-01-13,269.1052447137439
2019-01-14,270.0429804853669
2019-01-15,271.56281357047084
2019-01-16,272.1722000395311
2019-01-17,271.305061499331
2019-01-18,269.1671272696196
2019-01-19,267.8433836697763
2019-01-20,267.8433986333244
2019-01-21,268.8866732450491
2019-01-22,269.07474213186777
2019-01-23,270.29473834549583
2019-01-24,269.8144825546286
2019-01-25,270.23488943505765
2019-01-26,270.27671188378105
2019-01-27,269.1823775794925
2019-01-28,267.9207464604562
2019-01-29,266.29636119687046
2019-01-30,265.692178810165
2019-01-31,271.8110792172864
2019-02-01,271.3584745395616
2019-02-02,269.4806735879477
2019-02-03,269.83680950166814
2019-02-04,268.88490853596534
2019-02-05,268.8665093446424
2019-02-06,270.51671085080494
2019-02-07,270.77436872755203
2019-02-08,271.36486437491413
2019-02-09,269.3793241877807
2019-02-10,268.2367951779563
2019-02-11,266.0639030974447
2019-02-12,265.48025617507386
2019-02-13,267.8714342772237
2019-02-14,267.8791640945148
2019-02-15,265.59523106165324
2019-02-16,266.32602050739314
2019-02-17,265.7451136810898
2019-02-18,266.9772580106334
2019-02-19,267.4448083275157
2019-02-20,265.7949065662225
2019-02-21,267.48752167704885
2019-02-22,270.46603987452573
2019-02-23,268.87919813469074
2019-02-24,270.76274089208005
2019-02-25,272.04421841562305
2019-02-26,271.43504627175236
2019-02-27,271.9414342350239
2019-02-28,271.4924588792577
2019-03-01,270.93999643063773
2019-03-02,272.8416463896965
2019-03-03,273.8345269709154
2019-03-04,273.7634468788431
2019-03-05,271.48384754548135
2019-03-06,271.14723155615854
2019-03-07,272.5887685767722
2019-03-08,272.1280709639787
2019-03-09,269.9017878536867
2019-03-10,270.91013872369166
2019-03-11,271.5542154825242
2019-03-12,268.4642979611953
2019-03-13,268.50031406979315
2019-03-14,269.4198298355421
2019-03-15,271.7193825271455
2019-03-16,270.78696863513585
2019-03-17,268.3833691381188
2019-03-18,268.4196376326658
2019-03-19,266.899932792499
2019-03-20,268.4510164593903
2019-03-21,269.2826363754463
2019-03-22,271.33464290387116
2019-03-23,274.8170120178348
2019-03-24,274.8124860959539
2019-03-25,274.5405858026441
2019-03-26,273.475561827066
2019-03-27,271.92022704775076
2019-03-28,269.48170977464963
2019-03-29,269.1889904450801
2019-03-30,268.58421679916205
2019-03-31,269.27820203751514
2019-04-01,271.2411692689708
2019-04-02,271.64601619890783
2019-04-03,271.5349208108695
2019-04-04,270.7140533510152
