Date,TA
2019-01-01,-1.1802024035664482
2019-01-02,-1.7343051784905972
2019-01-03,-3.657251701145867
2019-01-04,-3.3447796176359255
2019-01-05,-4.340404023168322
2019-01-06,-4.460732103580627
2019-01-07,-2.9490851319859184
2019-01-08,-2.8291900727413966
2019-01-09,-2.016022272452646
2019-01-10,-3.865909336009364
2019-01-11,-4.79993309806252
2019-01-12,-6.849444482675843
2019-01-13,-7.359353640652931
2019-01-14,-5.123295211403244
2019-01-15,-5.120888878182553
2019-01-16,-7.507669052158726
2019-01-17,-6.582713545530455
2019-01-18,-7.680205253594146
2019-01-19,-6.705207452844868
2019-01-20,-6.379042786472292
2019-01-21,-7.7800395353858
2019-01-22,-5.9753873410049705
2019-01-23,-2.8455317915898304
2019-01-24,-3.9571682796349714
2019-01-25,-2.076320645423932
2019-01-26,-0.8543195712427554
2019-01-27,-1.4141862371345013
2019-01-28,-1.0797168517614455
2019-01-29,-1.5385410325584599
2019-01-30,-2.0456248745845387
2019-01-31,-0.6547808078221363
2019-02-01,0.8457949871996098
2019-02-02,0.862275928875657
2019-02-03,-1.5611135823643376
2019-02-04,-1.710460168581607
2019-02-05,-0.16072308042317576
2019-02-06,-0.9007158124151463
2019-02-07,-3.1214798629618112
2019-02-08,-2.3361389815247
2019-02-09,-1.6967568611236976
2019-02-10,-4.4512766653814
2019-02-11,-4.567651636543965
2019-02-12,-3.954771257884746
2019-02-13,-1.8407534993928225
2019-02-14,-2.5038252914121424
2019-02-15,-4.643553455795725
2019-02-16,-4.610210106739656
2019-02-17,-6.106043593660901
2019-02-18,-4.590698743265242
2019-02-19,-3.69617433882624
2019-02-20,-1.338819813181706
2019-02-21,1.9307696621917183
2019-02-22,1.9577166676270135
2019-02-23,1.276437960791861
2019-02-24,-0.020349299495429327
2019-02-25,-1.3446394648511106
2019-02-26,-3.7110576638169475
2019-02-27,-4.177896202447684
2019-02-28,-4.707293276699575
2019-03-01,-3.5203439166108152
2019-03-02,-1.763765863031054
2019-03-03,-1.4809345553183992
2019-03-04,-1.7777729138068215
2019-03-05,-2.5248152066215974
2019-03-06,-3.3202145711043705
2019-03-07,-3.4528358679513604
2019-03-08,-3.06568475894923
2019-03-09,-2.5620058151381966
2019-03-10,-1.3310561488792723
2019-03-11,0.22804083171483544
2019-03-12,0.8165942622350395
2019-03-13,1.2373412246994624
2019-03-14,2.2059120628159263
2019-03-15,2.4827069956272845
2019-03-16,1.4798311814189895
2019-03-17,1.3775652436286943
2019-03-18,2.9079625532136113
2019-03-19,4.630553066424094
2019-03-20,4.31960202548993
2019-03-21,4.430250139870925
2019-03-22,4.564419150408397
2019-03-23,4.48069892065695
2019-03-24,4.5309792751205
2019-03-25,5.464319984824739
2019-03-26,6.81637699577352
2019-03-27,6.85971879950204
2019-03-28,5.770702396274121
2019-03-29,5.988504024953995
2019-03-30,7.158526857028792
2019-03-31,7.914470690970722
2019-04-01,6.666538882307255
2019-04-02,6.963071730786215
2019-04-03,9.503969635997985
2019-04-04,9.86862773744456
2019-04-05,9.078159971613893
2019-04-06,8.058556171456894
2019-04-07,6.050526259118861
2019-04-08,4.734385695041818
2019-04-09,4.968087246702206
2019-04-10,6.944494964405656
2019-04-11,9.17936005121722
2019-04-12,10.322731596968257
2019-04-13,10.50877137393763
2019-04-14,9.263608613550112
2019-04-15,9.591300698246968
2019-04-16,10.012259889398104
2019-04-17,8.297955482096265
2019-04-18,7.009469191893321
2019-04-19,7.917199200211665
2019-04-20,10.926021798471613
2019-04-21,13.671784411993228
2019-04-22,14.20852952746861
2019-04-23,12.497662829567245
2019-04-24,9.408330127910768
2019-04-25,7.746644578914398
2019-04-26,7.451891790345387
2019-04-27,7.4624539643076995
2019-04-28,7.917427211563033
2019-04-29,8.264640796870786
2019-04-30,8.791665665416453
2019-05-01,8.62737911414515
2019-05-02,10.99799818444756
2019-05-03,12.474710345944581
2019-05-04,12.88105345928979
2019-05-05,14.352772230798145
2019-05-06,16.35595926329171
2019-05-07,17.27781942077099
2019-05-08,16.895363339975837
2019-05-09,16.502756708618644
2019-05-10,15.691611498469289
2019-05-11,14.345821186574247
2019-05-12,12.73211733073759
2019-05-13,12.684121812319182
2019-05-14,12.790447975311539
2019-05-15,12.332254267698602
2019-05-16,12.535368629061683
2019-05-17,13.9402581708093
2019-05-18,14.425517515988398
2019-05-19,14.52784838743632
2019-05-20,16.11268980464168
2019-05-21,18.477021379163755
2019-05-22,17.680576787829587
2019-05-23,14.870837579417003
2019-05-24,14.988931723699435
2019-05-25,17.002242600822548
2019-05-26,18.82367573173761
2019-05-27,20.474219099139166
2019-05-28,20.47083668087192
2019-05-29,19.51559851973215
2019-05-30,18.592072232040653
2019-05-31,18.624395638130704
2019-06-01,19.81628990337088
2019-06-02,20.70818514352328
2019-06-03,20.42828816792455
2019-06-04,21.01325422350435
2019-06-05,22.38925643870288
2019-06-06,23.117229283950365
2019-06-07,23.558385126452507
2019-06-08,23.627127743226872
2019-06-09,23.114978764020915
2019-06-10,22.096290577431386
2019-06-11,20.569445541687553
2019-06-12,19.819384273657796
2019-06-13,19.47911824367087
2019-06-14,19.701346674640273
2019-06-15,19.647080589516467
2019-06-16,19.701569217244398
2019-06-17,19.873245022904467
2019-06-18,20.1193933986915
2019-06-19,20.77800773042132
2019-06-20,20.969061021581673
2019-06-21,23.08293806324886
2019-06-22,25.50756741670866
2019-06-23,27.691155545130055
2019-06-24,27.619507190879933
2019-06-25,25.129598691996254
2019-06-26,23.45973832602934
2019-06-27,23.332168004855685
2019-06-28,24.746141880781114
2019-06-29,26.021548253835846
2019-06-30,25.584338729451783
2019-07-01,25.352279479177668
2019-07-02,24.895926601279466
2019-07-03,24.327654038208635
2019-07-04,24.747344219882972
2019-07-05,25.218090851627668
2019-07-06,25.591752662736774
2019-07-07,26.87124785212786
2019-07-08,28.303665106412502
2019-07-09,28.43845556838316
2019-07-10,28.715288084696482
2019-07-11,27.246059086286067
2019-07-12,25.416445182716984
2019-07-13,23.359440218439858
2019-07-14,22.702843411004338
2019-07-15,23.291244146783463
2019-07-16,25.213267107113342
2019-07-17,27.32616223046753
2019-07-18,29.908836945830508
2019-07-19,31.830798835596088
2019-07-20,31.44469401692569
2019-07-21,29.232492509994536
2019-07-22,28.600220717242138
2019-07-23,28.563276821444664
2019-07-24,29.125110406302795
2019-07-25,29.655193199591594
2019-07-26,29.507128203188802
2019-07-27,28.969130707289278
2019-07-28,28.546119421208033
2019-07-29,28.90332467487468
2019-07-30,29.146737759351417
2019-07-31,28.62436550527341
2019-08-01,27.77759641233939
2019-08-02,27.82586560798035
2019-08-03,29.063549077362598
2019-08-04,28.71825119027739
2019-08-05,26.95600885765039
2019-08-06,27.04512534737544
2019-08-07,29.23703191816214
2019-08-08,29.6361887941269
2019-08-09,27.63211597234495
2019-08-10,24.943781756586823
2019-08-11,24.01923675310146
2019-08-12,26.50636640682164
2019-08-13,28.51900166180788
2019-08-14,28.870969960786063
2019-08-15,29.112405071089732
2019-08-16,29.46575288133368
2019-08-17,28.855973506216493
2019-08-18,27.14691303427413
2019-08-19,26.615127097144573
2019-08-20,26.67713653295607
2019-08-21,25.67208415392037
2019-08-22,26.105125441383226
2019-08-23,29.08413795131199
2019-08-24,30.849652753853526
2019-08-25,31.81579905018569
2019-08-26,31.198367025575326
2019-08-27,30.387327460542338
2019-08-28,28.210218532675476
2019-08-29,25.809552136103257
2019-08-30,25.165738933580105
2019-08-31,26.075021445862053
2019-09-01,26.668334280336857
2019-09-02,26.31241012835823
2019-09-03,26.60115855493486
2019-09-04,26.187737462782646
2019-09-05,25.41301275481451
2019-09-06,25.388764804991155
2019-09-07,26.094923006733513
2019-09-08,25.205305994446896
2019-09-09,24.200283821622286
2019-09-10,23.38537991119942
2019-09-11,23.54142709413506
2019-09-12,25.00137068344885
2019-09-13,26.255074611483547
2019-09-14,24.538323814812006
2019-09-15,21.966667816363728
2019-09-16,19.315621437078523
2019-09-17,17.562959367714186
2019-09-18,17.18941956186736
2019-09-19,17.909909299786616
2019-09-20,17.883233174118768
2019-09-21,17.2867614133944
2019-09-22,17.21872646209677
2019-09-23,18.1234376614797
2019-09-24,18.621302207778818
2019-09-25,18.53437237469939
2019-09-26,17.746535050508797
2019-09-27,17.447102715347587
2019-09-28,18.655457749195342
2019-09-29,19.705169750449006
2019-09-30,19.038651949965054
2019-10-01,16.929878092660687
2019-10-02,14.396782941642243
2019-10-03,13.171812239063385
2019-10-04,13.317055192472134
2019-10-05,13.771155048820416
2019-10-06,13.003584868160605
2019-10-07,11.206004137732316
2019-10-08,10.476427092359822
2019-10-09,9.59654425380627
2019-10-10,8.683158492691973
2019-10-11,8.744613899642959
2019-10-12,8.415915119467535
2019-10-13,9.386635974630861
2019-10-14,10.695587929006773
2019-10-15,10.319964927558075
2019-10-16,10.947943468519034
2019-10-17,12.148161842580462
2019-10-18,11.82422660981909
2019-10-19,10.093813869897806
2019-10-20,8.457757504289226
2019-10-21,7.571134376286931
2019-10-22,6.681215575502985
2019-10-23,7.163737462360028
2019-10-24,9.201705196154155
2019-10-25,10.133212476370526
2019-10-26,9.278400423123683
2019-10-27,8.233503312161702
2019-10-28,8.145021122649338
2019-10-29,8.248609763636308
2019-10-30,7.756151146355677
2019-10-31,7.739747507105681
2019-11-01,8.159592260410669
2019-11-02,7.5490680255831455
2019-11-03,4.930965275379713
2019-11-04,3.9356989859449696
2019-11-05,4.1363038398534755
2019-11-06,1.2352100929563599
2019-11-07,-1.5966596713857841
2019-11-08,-2.1750454618865445
2019-11-09,-1.3553214348089957
2019-11-10,0.062106450035713495
2019-11-11,0.7430416522007642
2019-11-12,-0.10851817094201721
2019-11-13,-0.023421955069704632
2019-11-14,-0.032704975348332596
2019-11-15,0.873697191733061
2019-11-16,2.9765559021205115
2019-11-17,4.2041283552776365
2019-11-18,3.626538362509369
2019-11-19,0.7592615639622611
2019-11-20,0.9134738685230028
2019-11-21,2.2570699839492714
2019-11-22,3.1150040551829723
2019-11-23,2.5666922324809995
2019-11-24,2.3106387722094714
2019-11-25,1.2710331538953301
2019-11-26,0.448252551210657
2019-11-27,-1.2057768922048286
2019-11-28,-2.9417146397456904
2019-11-29,-3.7291202792544738
2019-11-30,-4.008154290631389
2019-12-01,-4.714086954449816
2019-12-02,-3.92624295816121
2019-12-03,-2.537732388144442
2019-12-04,-2.2066314460114462
2019-12-05,-2.5595394478720856
2019-12-06,-2.6706086617470985
2019-12-07,-2.8046648235347456
2019-12-08,-1.9718022286931165
2019-12-09,-0.6989374137597428
2019-12-10,-0.12111231753209355
2019-12-11,-0.28995955998628503
2019-12-12,-1.890731583020355
2019-12-13,-3.5559111310874076
2019-12-14,-3.9255133709273506
2019-12-15,-3.1356701651388326
2019-12-16,-1.8340196533352386
2019-12-17,-1.42551466410668
2019-12-18,-2.4161233293344053
2019-12-19,-4.402572310404319
2019-12-20,-5.538828999119418
2019-12-21,-5.060578305780583
2019-12-22,-4.012442812732852
2019-12-23,-4.034279728312432
2019-12-24,-2.2839620884722898
2019-12-25,-2.4045478799795896
2019-12-26,-2.2468630876042472
2019-12-27,-3.0647557263203913
2019-12-28,-4.3247303126016
2019-12-29,-5.09902086014007
2019-12-30,-6.716109634404391
2019-12-31,-6.997665215545158
2020-01-01,-0.6781034802936287
2020-01-02,-1.1767706746448023
2020-01-03,-3.0750389324192833
2020-01-04,-2.9882965535934396
2020-01-05,-4.366688908059988
2020-01-06,-4.793126990842706
2020-01-07,-3.3498147535069167
2020-01-08,-3.2118360313623127
2020-01-09,-2.110671859840462
2020-01-10,-3.74357979243812
2020-01-11,-4.838079965812764
2020-01-12,-7.013273675234054
2020-01-13,-7.659684297356622
2020-01-14,-5.555445442847509
2020-01-15,-5.706853347583488
2020-01-16,-8.060065475414655
2020-01-17,-6.848417142056198
2020-01-18,-7.630121328514797
2020-01-19,-6.6436454101567275
2020-01-20,-6.578304950376297
2020-01-21,-8.13432485309871
2020-01-22,-6.437554375277024
2020-01-23,-3.1075753125558263
2020-01-24,-3.953509661535435
2020-01-25,-1.9844689716773005
2020-01-26,-0.8436123175644541
2020-01-27,-1.3768631309298454
2020-01-28,-1.2708814190278288
2020-01-29,-1.9975208893702217
2020-01-30,-2.5139126756976826
2020-01-31,-0.6957656576398564
2020-02-01,1.1334311740032
2020-02-02,1.170421156840354
2020-02-03,-1.4651726247476613
2020-02-04,-1.6414943756858047
2020-02-05,-0.07650780927764933
2020-02-06,-0.8122007573505176
2020-02-07,-3.177219410326502
2020-02-08,-2.4129841326275403
2020-02-09,-1.6877027058029914
2020-02-10,-4.468675027388984
2020-02-11,-4.561225158319757
2020-02-12,-3.95940427781884
2020-02-13,-1.819803130279813
2020-02-14,-2.366572526707445
2020-02-15,-4.508995246115841
2020-02-16,-4.637331772184916
2020-02-17,-6.032414056521054
2020-02-18,-4.508149677066766
2020-02-19,-3.55396606291766
2020-02-20,-1.2398581647425553
2020-02-21,2.15320634392271
2020-02-22,1.9411465613680472
2020-02-23,1.1421510577760905
2020-02-24,-0.028191124420723197
2020-02-25,-1.204608828794953
2020-02-26,-3.7640986687077764
2020-02-27,-4.053770894316587
2020-02-28,-4.565407059749607
2020-02-29,-3.565018769762367
2020-03-01,-1.8552576533848903
2020-03-02,-1.7912872958547852
2020-03-03,-2.126105163624964
2020-03-04,-2.9176845856983764
2020-03-05,-3.6519959696729956
2020-03-06,-3.7260965046236074
2020-03-07,-3.253376998220559
2020-03-08,-2.6542134856177637
2020-03-09,-1.199998829321576
2020-03-10,0.26356331102310077
2020-03-11,0.9585951770964287
2020-03-12,1.204653905170118
2020-03-13,2.050958590935955
2020-03-14,2.2445655556867083
2020-03-15,1.1721955676546614
2020-03-16,1.2645871261577397
2020-03-17,2.873797131315507
2020-03-18,4.550220982685564
2020-03-19,4.310773933349493
2020-03-20,4.3074934993657354
2020-03-21,4.410766296706715
2020-03-22,4.346357513545942
2020-03-23,4.357906447053165
2020-03-24,5.322209232704251
2020-03-25,6.693621836740003
2020-03-26,6.705915294156837
2020-03-27,5.688406542569373
2020-03-28,5.8859701693971935
2020-03-29,6.8820428998588214
2020-03-30,7.519256532613921
2020-03-31,6.3368508945216275
2020-04-01,6.761466882898095
2020-04-02,9.39372122542466
2020-04-03,9.76463242904502
2020-04-04,9.064565131641734
2020-04-05,8.055383877029247
2020-04-06,6.002656846891157
2020-04-07,4.626058307963212
2020-04-08,4.875572039454081
2020-04-09,6.856810968014153
2020-04-10,9.20813719846848
2020-04-11,10.327374049398356
2020-04-12,10.533294136349294
2020-04-13,9.346573134560586
2020-04-14,9.792242599670494
2020-04-15,10.147353911079453
2020-04-16,8.439846032834131
2020-04-17,7.173968426379232
2020-04-18,8.086259517218418
2020-04-19,11.034720074906835
2020-04-20,13.746657463806612
2020-04-21,14.252460839434843
2020-04-22,12.43303551307901
2020-04-23,9.233899365562296
2020-04-24,7.435528572492961
2020-04-25,7.006335210134777
2020-04-26,7.031649217104005
2020-04-27,7.592475227158402
2020-04-28,8.028999772589064
2020-04-29,8.647976479258844
2020-04-30,8.463171691825618
2020-05-01,10.931769165105093
2020-05-02,12.527705247526672
2020-05-03,12.883315608533959
2020-05-04,14.271824649136033
