Date,FR10,FRB0,FRC1,FRC2,FRD1,FRD2,FRE1,FRE2,FRF1,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ1,FRJ2,FRK1,FRK2,FRL0
2019-01-01,275.8643266329873,276.6148240691934,277.0600192422562,279.04421772011733,276.105760956285,275.92556676297784,275.83608830133835,275.7970063976337,275.348965663626,277.71863927584025,277.33127570678556,276.1590831712117,276.73522991042245,275.43570313986646,278.41786530651655,277.2646027153394,275.03597223944934,275.3028067420792,276.96388490987835,278.17384082875583,276.72965133178036
2019-01-02,275.64805163355146,276.369315107728,276.7968989521583,278.71106537129504,275.91421024368066,275.7058670779104,275.60267091496155,275.50661478609766,275.10740026556374,277.2161373446263,276.8647369435532,276.01286381178875,276.53782985516807,275.350303843233,278.0881806005789,277.1075436331522,274.98322146022457,275.2095804787383,276.73110132832437,277.92175989801746,276.6160579363907
2019-01-03,275.54365469722177,276.315680602489,276.68314961367776,278.51709360246076,275.8944435202963,275.6675458047327,275.52017393077404,275.4271421655474,274.94755868829924,276.9715841679693,276.6108416435764,275.965734934505,276.4522661965663,275.248220633725,277.93805647431986,277.06023077170255,274.9274919769385,275.04800970243457,276.60014308907574,277.7466100761576,276.4794002325298
2019-01-04,275.38084951883906,276.19030885690444,276.60220221935737,278.3531631687075,275.6242733044026,275.378726207396,275.31341021822493,275.2382488535864,274.84002501452727,276.8677082960596,276.54174055610014,275.78582292369197,276.09830355104236,275.2042243860853,277.84587214781953,276.97924196466266,275.3000875311509,275.1445190208868,276.74586697466304,277.8250657414729,276.5802916970127
2019-01-05,275.04057192643774,275.97909493434105,276.3341207228138,277.99708436442796,275.32125446378205,275.06457019013845,274.899743910905,274.862017393039,274.6946181529727,276.2267868516023,276.09387221720556,275.61278763849174,275.8114562803804,275.1452659178152,277.6467143711506,276.7918795114845,275.33973260378775,275.170847390275,276.7151021287852,277.6454647997047,276.35279375429604
2019-01-06,274.9084766945338,275.93935138067246,275.91732264784247,277.3140814747065,275.25784278975254,275.03565647688015,274.85131705446526,274.75547088551247,274.44338271776957,275.7025547986746,275.54316477579306,275.6383606237795,275.7164289196434,275.1405777667036,277.59857754730115,276.7762875746555,274.8943511977628,275.1182922241049,276.39687808136546,276.82878495621236,275.5860356817039
2019-01-07,274.79568354039907,275.71890836721957,275.46533640309354,276.8734219016095,275.26574387507924,275.04799338277087,274.85334153899254,274.72321180655786,274.2564545181356,275.41125250915564,275.246520308435,275.5963420942627,275.7586769890583,274.80522358424645,277.0303876703802,276.46958151711414,274.14879242078143,274.5461720800027,275.7983972328678,276.33262428202517,275.07824256745766
2019-01-08,274.66101741643877,275.3784036599683,275.12181941463956,276.80930555788905,275.09839281988116,274.9414830851607,274.8130819898279,274.6558003443254,274.268590972029,275.3214391750668,275.22675549148175,275.3709990257917,275.5389991521228,274.530123753142,276.4877573047751,276.1710677454326,273.6450017597401,274.1169552389795,275.2990491005588,276.14003912028704,274.5443700208434
2019-01-09,274.7052569625997,275.1685780004792,274.9220555743478,276.7198862430997,275.0934670800741,274.98231325297,274.8079564717547,274.68896336696264,274.2202149520414,275.39101328624815,275.25583945822547,275.1837534331309,275.4072022020537,274.4387919601034,276.12253954278526,275.88699248471323,273.50790303334566,274.0344508779711,274.8721425568154,275.74251847426257,273.94690237178077
2019-01-10,274.7151101673298,275.07547157417235,274.78095579170605,276.48880089802066,275.10917833600575,274.9853177692301,274.87837236980397,274.7084991008583,274.1851216811339,275.4033260693711,275.2243020422526,275.0450910154234,275.3238499893136,274.4122894691625,276.0327237620291,275.7393982933401,273.49166201330013,274.0155244095161,274.7454534217185,275.53306890347955,273.78478687774196
