Date,FR10,FRB0,FRC1,FRC2,FRD1,FRD2,FRE1,FRE2,FRF1,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ1,FRJ2,FRK1,FRK2,FRL0
2019-01-01,273.29484544004475,273.47127991189257,272.93662207054575,273.67020163305637,275.2397037736115,274.5387011332114,274.42215141387527,273.4355066350105,273.12251284998143,273.1635387663915,273.38926518311104,274.6470724283082,277.3358301169932,273.98137104242454,273.3724486934378,273.9346707828242,273.2468568194383,274.87584376578343,273.2267207741415,272.8586412181423,272.0430174103823
2019-01-02,275.93355587092776,275.4554567115416,276.32435772282327,280.0597399397775,278.1826341420795,277.86789232795314,276.5682982571612,276.46835436158517,276.30212745824775,278.1455377958978,278.90680941162833,275.1658001287398,277.8366305800624,273.6728114170878,278.18350166297495,274.82384399182826,275.4911161000638,275.9883651347965,277.6293093809017,279.47901066719726,274.9361764370066
2019-01-03,282.07701468036413,282.5380669039099,276.4823229045208,273.63882348873454,288.9979844675851,287.4997432768158,282.68059572043114,282.15754163852915,273.31412442488994,278.0368633386905,276.2195785779928,287.65389334365517,289.93590580674305,284.1042812247581,286.2819970435694,286.07058052395956,274.4626786550117,278.46024830841833,278.1951705090542,273.83785160979625,272.4070571730159
2019-01-04,283.80074325924073,280.25318660178164,286.5461510338257,295.4134229248269,276.90819003860656,279.510108131184,281.28677033148836,282.95045965092766,280.49965222596364,291.3637124261276,289.1230661698686,276.9755990333064,277.00265454116305,295.8682858769585,293.6815255501409,281.33681700564915,281.557316066242,292.9464706318103,287.62760177538104,287.1355992992452,278.04263427379095
2019-01-05,276.4218052483939,277.9370614018051,278.2074029833226,286.570542593325,277.4007401347418,276.6619094445533,276.4551256075652,276.5634930676754,278.61526283039876,281.2008336219702,282.4665363031531,277.5777992375708,276.64074723338564,283.0121579034075,283.2116688702698,281.52842020660086,277.8232829697503,281.467263710009,280.66585682095945,280.3126633286106,275.62048612831813
2019-01-06,276.43623061295233,276.2129667172665,275.28910912837443,278.69012693558017,274.70776571071303,275.5083562700641,275.93389845104156,275.6795289995657,275.73218696993666,278.115933700115,279.24866864772605,274.8316795028614,277.4161081317944,278.15013250306475,280.6076319626361,275.6860847840373,274.6672002673225,277.5689153834165,278.26323830156315,277.2400482484293,275.9265376825578
2019-01-07,286.07587182434605,288.68134960496377,285.9205194907701,289.3826221908713,288.7511121574083,287.79926078457896,284.9475756840519,285.8666932607639,278.2616879700101,286.9182040305912,283.79166007703503,292.11848573692316,293.3231617970756,301.2345311551788,305.62255985290403,301.3362534607218,281.1263523552987,289.17346045651544,289.4500243288056,285.98099951455123,277.29076076890857
2019-01-08,278.10159074874167,281.8929388937163,279.7287814353744,281.94425523553264,276.577725221559,275.926337616961,274.4127518593214,275.6506003362057,277.34463165930117,278.9116392025946,279.2111011815369,282.7448664597199,277.1371714420885,282.4615702260011,288.5177787048726,286.7243970424836,278.2767751463485,279.6415467451041,283.9442594184448,280.86086741147244,276.2549344842941
2019-01-09,275.16452798103154,276.3990128464723,275.96258777671517,281.8180468189149,276.8318080761092,274.5868011545837,273.6818458280129,273.932458727463,278.3552851514362,276.62482295765955,278.0430558392421,277.3678010428575,281.0148064162149,274.7980189469423,277.45532333904214,276.982626069638,275.1398213368483,275.29510662706247,278.95282906908034,283.08825118572014,279.9841557929262
2019-01-10,278.0212835721212,281.0390927142824,280.68216493358034,287.27571076702344,277.07726034537603,278.7613673542548,277.34561191712044,278.48095511853586,279.16578390430453,288.3036091157518,286.66043402148523,279.22014453780366,277.5452449593553,287.40252223104875,299.33132464134127,292.2579601275652,274.37814641591314,278.7143022124904,282.2083474236309,276.6298979748331,273.8850478772346
2019-01-11,279.84894329513344,282.1936056161399,282.350422256436,297.635918948712,280.14452934307485,279.2293246286995,278.29651332143305,279.0652644332344,285.83653505455044,287.7927480588931,289.1521209901053,282.82011674277925,282.38851185952797,284.7258811444441,294.17928482178013,287.0912054544029,276.8869015098317,281.95450830923835,284.8131196002526,286.07336930575497,277.77233402846156
2019-01-12,276.8132173697894,277.00861788430785,276.4488317183942,282.1041390548878,274.95474550207854,275.5668774233904,275.96720579813035,276.68543181494044,276.49759341985936,280.17102020763474,281.1768851795022,275.2679931561977,275.8149476573089,280.96175919261196,281.49832958646226,279.0950186759879,274.57801346935446,277.15855803637663,278.7996431201587,278.26124735912407,273.35217370282413
2019-01-13,273.5189712140802,273.9948444630258,275.08351903313877,277.16335313157293,274.8245541054866,273.8443276997262,274.1163100076671,273.6166983834632,274.9815995886386,276.4585978187527,277.8531958544524,275.90070384415225,280.7043785375973,275.85622571830305,276.1676396558789,275.6371879760791,274.2552435187678,274.9191696090524,275.02600792340576,274.1893065181711,274.11560402584377
2019-01-14,280.0416534235388,283.43779144265255,282.30461520061584,285.4172119058964,280.2328516492567,281.44516366840674,282.1764733979465,280.4444237873011,280.04626143016407,282.7943816961615,283.1999621772534,284.72481986242747,281.11344116690594,287.33787835081995,292.89799302237356,289.7420838331185,281.7542791243079,284.8888906138285,286.3739526433389,284.5818124015599,281.304206678275
2019-01-15,276.01302062925294,279.5014305214177,278.0436354331025,282.5862195287379,275.08644591001956,273.72960197032205,274.038091862399,274.4537880397293,278.7680854057377,278.71027759964034,280.02504491452714,278.83088403635577,278.6539219183057,278.59308051738685,279.3578977274292,280.04740249723284,275.1465172722914,277.70375896857524,276.8936754797743,276.857002671128,274.29345559588256
2019-01-16,274.60714052565567,274.9442583770254,275.6712985886862,276.80620793843167,274.96196000505154,274.82206513171525,274.28583916288085,274.44898240422043,274.91818165507186,276.2375448098333,275.8923050678772,275.6411093793312,275.467351662333,276.66065465496615,278.0131455897225,276.6345444040911,273.561621331507,275.0571862215883,275.3623881792238,275.40405363320525,275.52624216043534
2019-01-17,273.36920015886346,273.9353283156905,274.8851442808337,277.7474771965416,275.4795929056681,278.58317423240595,276.0290963649067,274.64806036583644,275.3179621718403,273.50262946523986,275.5217678494865,277.10593291695153,280.6382552762128,274.6737341576054,275.6908466803034,276.29371138773183,273.9025622980658,273.9258787142241,275.0012240622295,278.5164140149783,277.91988029941996
