Date,FR10,FRB0,FRC1,FRC2,FRD1,FRD2,FRE1,FRE2,FRF1,FRF2,FRF3,FRG0,FRH0,FRI1,FRI2,FRI3,FRJ1,FRJ2,FRK1,FRK2,FRL0
2019-01-01,275.98775042945255,276.1943292694212,276.3719133344396,277.0495253945262,276.20655695458805,275.6495391640687,275.5842548562103,275.59093106108196,274.6594799430584,277.14917716140957,276.7773713840878,275.79366699235453,277.1830874548284,275.31963607727573,276.63256726788967,275.72589065634463,276.2864517299667,275.3663966733431,276.30587724428847,276.8785636044325,277.2587913311428
2019-01-02,275.6413949238028,275.9481290642358,276.18938979796013,276.87894030329255,275.98355373865144,275.44185637953314,275.37157688465413,275.2883416776855,274.47031148858423,276.6140028772759,276.30068361188836,275.61759889536796,276.85792981354604,275.3844368567444,276.45774712675563,275.74003469504436,276.25770578175377,275.3522769258166,276.172550220573,276.78835888432786,277.216362422472
2019-01-03,275.4043970092252,275.7280918210732,275.9781820414162,276.55664977238206,275.8598585385323,275.3030573689842,275.16960904032504,275.0686708933083,274.23278342268145,276.19925700884727,275.91817758244264,275.5070572248835,276.6673245308188,275.38795558662787,276.18097564669773,275.5950998574944,276.18563996522903,275.3100875799561,276.02382135742283,276.63565952648656,277.0987590855455
2019-01-04,275.26648279499597,275.69727812683476,275.94988573776095,276.42389431836006,275.6090738242028,275.0629756269974,274.8887123523474,274.898689557097,274.1168903896645,276.068026069831,275.7226030080986,275.38733016097893,276.31979268020586,275.3794831943998,276.19511458080615,275.5871605167882,276.57938011258364,275.41462866844716,276.1677709329323,276.7162263784314,277.1301137612112
2019-01-05,274.9812181433406,275.51707131587244,275.6633329786357,276.1783544068825,275.20493563947906,274.70882641600525,274.5595671120435,274.58996069736145,274.08852603934554,275.52062228315185,275.41240971164433,275.1847051202503,275.8578764582961,275.3097994001331,276.17295288536025,275.5314906347359,276.7445492796334,275.4693510150766,276.2011572872703,276.51899100156817,276.89814834524117
2019-01-06,274.76994038191805,275.3350124753372,275.12053421931716,275.4186704765451,275.1147906446895,274.62502859729386,274.4290287751916,274.4728273471914,273.85904672526755,274.95479803694514,274.88945867466737,275.1757426616941,275.7379685757087,275.1993918107879,275.89016861156153,275.3562131272925,276.3689473283366,275.34665814731153,275.7646241438533,275.6509805358071,276.04468821660606
2019-01-07,274.52401041457443,274.93981890875875,274.56874676505873,274.91771644610884,275.01320489512176,274.51821239617794,274.3634850376278,274.3493138616745,273.67260297044413,274.5371730784424,274.5182432816418,275.05315326912734,275.7139029779045,274.6882336162659,275.15082034176186,274.9523228355557,275.63401171757295,274.61459868908594,275.07616957002045,275.1493286310567,275.6256723335889
2019-01-08,274.34460744444175,274.5071341426702,274.193020563559,274.74342759017475,274.7530167823257,274.39193662508063,274.30805214808436,274.27691504302874,273.6272888105182,274.4221627131611,274.45273577604087,274.73161277910293,275.3513801696687,274.29718399322445,274.50680293289304,274.59150821763035,275.12047550709,274.15038830123166,274.5516506123609,274.9157763490021,275.1391472236853
2019-01-09,274.2983202420914,274.22433507934437,273.9054655985648,274.4920235230674,274.6305606725285,274.3584930151992,274.29349110758903,274.25446123416526,273.51956694979964,274.3941891273952,274.3870889636875,274.4886381307903,275.1467915977107,274.1896960961424,274.11928039974373,274.31998415049276,274.95510453262096,274.0510134918419,274.0980273119788,274.52983226744357,274.57659035645275
2019-01-10,274.2824139844931,274.10251029322546,273.74869887100317,274.22465838116256,274.61535695064435,274.3655480923574,274.366604447353,274.28319015093103,273.4760321038011,274.38323721312867,274.3221356305806,274.3891474382791,275.0809814496494,274.16406508273224,273.9544363621432,274.20931593971176,274.980735560791,274.0647173510973,273.92877622698865,274.2730079390694,274.3454220693741
2019-01-11,274.18329686314354,274.1032000978965,273.7537415314538,274.2170802999408,274.50226348599193,274.3232058094664,274.4652391167514,274.29244112905724,273.42913142345446,274.365367465704,274.28019290932644,274.3381235629427,274.909414284201,274.1644664604818,273.96183633751605,274.20185401691543,275.01041284346326,274.0514836958089,273.9305511086665,274.30717266193307,274.4327585594908
2019-01-12,274.19339040838327,274.1295153085943,273.7355941091697,274.10142780210685,274.49631322735735,274.3075910476381,274.4309567879962,274.2893779639071,273.3770945077373,274.38304804527263,274.2736467306624,274.3579198421108,274.90006561917727,274.1346400522454,273.9738488991289,274.2281052415678,274.9673446994581,273.98440194178914,273.8706268754414,274.19267324635763,274.32553721718733
2019-01-13,274.33808751346135,274.3438656840401,273.9129069675922,274.4245866821256,274.58349135745334,274.3971841420005,274.5220207538062,274.3970955653137,273.5147721223668,274.6065708148469,274.4704138130086,274.42827857017187,274.99610881308666,274.31714234054016,274.24679751638917,274.4263927525441,275.01368426063885,274.1023270990806,273.9989635752582,274.31093911388996,274.35207349006413
2019-01-14,274.40434588499556,274.4763269238376,274.08717584704675,274.738645831828,274.6512439263924,274.45682493037106,274.54284492058173,274.4295425134542,273.6132644646199,274.7912088148859,274.6549671826111,274.4278229784668,274.98898502496615,274.59336486616877,274.4922480642375,274.5656564518394,275.0835282135451,274.3371325362263,274.156693275639,274.5026494268804,274.4251673360869
2019-01-15,274.3566171157147,274.47958687614386,274.1425610847776,274.93103562130096,274.66990630875614,274.45859173158476,274.5395328900078,274.4155027008118,273.67821358698416,274.82460385357473,274.7508323756276,274.44032148196624,274.9687354533835,274.7732981954432,274.61268957675577,274.6059303827602,275.2085144427987,274.51606413850305,274.30609499416255,274.66796017740944,274.5860836105798
